fe_fertility1vcv1	fe_fertility1vcv2	fe_fertility1vcv3	fe_fertility1vcv4	fe_fertility1vcv5	fe_fertility1vcv6	fe_fertility1vcv7	fe_fertility1vcv8	fe_fertility1vcv9
.0001083	-1.87e-06	3.38e-07	-6.94e-07	3.27e-06	7.60e-06	-5.94e-07	5.06e-06	.0011105
-1.87e-06	.000024	1.06e-06	8.03e-07	-1.02e-06	-6.46e-06	1.19e-06	7.71e-06	-.002405
3.38e-07	1.06e-06	8.76e-07	5.01e-07	-1.31e-07	1.92e-07	-3.58e-08	1.45e-07	.0000646
-6.94e-07	8.03e-07	5.01e-07	8.88e-07	1.10e-07	-2.17e-07	-1.19e-07	-2.52e-07	.0002347
3.27e-06	-1.02e-06	-1.31e-07	1.10e-07	7.66e-06	5.22e-06	-5.49e-07	3.82e-06	.0010491
7.60e-06	-6.46e-06	1.92e-07	-2.17e-07	5.22e-06	.0000203	-1.68e-06	3.10e-06	.0031789
-5.94e-07	1.19e-06	-3.58e-08	-1.19e-07	-5.49e-07	-1.68e-06	2.59e-07	6.98e-07	-.0005055
5.06e-06	7.71e-06	1.45e-07	-2.52e-07	3.82e-06	3.10e-06	6.98e-07	.0005073	-.0014291
.0011105	-.002405	.0000646	.0002347	.0010491	.0031789	-.0005055	-.0014291	.9869329
								
								
								
								
								
								
								
								
								
								
								
