fe_polembd2vcv1	fe_polembd2vcv2	fe_polembd2vcv3	fe_polembd2vcv4	fe_polembd2vcv5	fe_polembd2vcv6	fe_polembd2vcv7	fe_polembd2vcv8	fe_polembd2vcv9
3.40e-07	-9.02e-07	2.02e-08	2.81e-08	-4.86e-08	9.35e-08	-1.71e-08	7.25e-07	.0000331
-9.02e-07	.0002458	-2.13e-06	-1.99e-06	2.23e-06	2.78e-06	-1.41e-06	-4.29e-06	.0026332
2.02e-08	-2.13e-06	1.08e-06	1.30e-07	-7.58e-08	-4.34e-08	1.88e-08	1.45e-06	-.000036
2.81e-08	-1.99e-06	1.30e-07	8.76e-08	1.87e-08	1.09e-08	2.57e-09	-1.27e-08	-4.26e-06
-4.86e-08	2.23e-06	-7.58e-08	1.87e-08	1.50e-06	3.65e-07	-4.58e-08	7.03e-07	.0000863
9.35e-08	2.78e-06	-4.34e-08	1.09e-08	3.65e-07	6.50e-07	-7.12e-08	-1.00e-08	.0001338
-1.71e-08	-1.41e-06	1.88e-08	2.57e-09	-4.58e-08	-7.12e-08	1.89e-08	5.83e-08	-.000036
7.25e-07	-4.29e-06	1.45e-06	-1.27e-08	7.03e-07	-1.00e-08	5.83e-08	.0000904	-.0001149
.0000331	.0026332	-.000036	-4.26e-06	.0000863	.0001338	-.000036	-.0001149	.0686192
								
								
								
								
								
								
								
								
								
								
								
