fe_interact1vcv1	fe_interact1vcv2	fe_interact1vcv3	fe_interact1vcv4	fe_interact1vcv5	fe_interact1vcv6	fe_interact1vcv7	fe_interact1vcv8	fe_interact1vcv9	fe_interact1vcv10	fe_interact1vcv11
7.69e-06	2.11e-06	1.91e-06	4.14e-08	6.99e-08	-1.73e-08	-5.36e-07	7.78e-08	1.03e-09	-1.28e-06	-3.05e-06
2.11e-06	5.97e-06	1.95e-06	4.97e-07	-3.81e-08	-1.07e-08	-5.66e-07	-2.73e-08	7.67e-09	-1.15e-06	-.0000156
1.91e-06	1.95e-06	.0000115	6.96e-07	-8.08e-08	9.65e-09	-5.70e-07	1.48e-07	-1.19e-08	3.60e-06	.0000213
4.14e-08	4.97e-07	6.96e-07	.0000709	-1.45e-06	-8.35e-07	6.96e-07	8.27e-07	-3.61e-07	-1.92e-06	.000669
6.99e-08	-3.81e-08	-8.08e-08	-1.45e-06	5.71e-07	4.98e-08	-6.21e-08	-3.92e-08	1.18e-08	4.92e-07	-.0000223
-1.73e-08	-1.07e-08	9.65e-09	-8.35e-07	4.98e-08	2.68e-08	-5.43e-10	-6.91e-09	3.13e-09	-1.84e-08	-5.73e-06
-5.36e-07	-5.66e-07	-5.70e-07	6.96e-07	-6.21e-08	-5.43e-10	7.89e-07	8.19e-08	-7.88e-09	4.42e-07	.0000145
7.78e-08	-2.73e-08	1.48e-07	8.27e-07	-3.92e-08	-6.91e-09	8.19e-08	1.52e-07	-1.35e-08	-2.16e-08	.000025
1.03e-09	7.67e-09	-1.19e-08	-3.61e-07	1.18e-08	3.13e-09	-7.88e-09	-1.35e-08	3.04e-09	3.27e-08	-5.70e-06
-1.28e-06	-1.15e-06	3.60e-06	-1.92e-06	4.92e-07	-1.84e-08	4.42e-07	-2.16e-08	3.27e-08	.0000331	-.0000635
-3.05e-06	-.0000156	.0000213	.000669	-.0000223	-5.73e-06	.0000145	.000025	-5.70e-06	-.0000635	.0106921
										
										
										
										
										
										
										
										
										
