fe_fertility5vcv1	fe_fertility5vcv2	fe_fertility5vcv3	fe_fertility5vcv4	fe_fertility5vcv5	fe_fertility5vcv6	fe_fertility5vcv7	fe_fertility5vcv8	fe_fertility5vcv9
.0009314	-.0000397	-3.03e-06	-7.65e-06	.0000487	.0000632	-4.86e-06	8.48e-07	.0091803
-.0000397	.0002373	3.19e-06	3.10e-06	-.0000327	-.0000725	.0000141	.0000545	-.0284389
-3.03e-06	3.19e-06	5.32e-06	3.55e-06	-3.37e-07	3.85e-06	-9.35e-07	-3.11e-06	.0018088
-7.65e-06	3.10e-06	3.55e-06	7.05e-06	-5.37e-07	4.11e-07	-1.68e-06	-6.96e-06	.003324
.0000487	-.0000327	-3.37e-07	-5.37e-07	.0001281	.0001063	-8.93e-06	9.26e-07	.0169456
.0000632	-.0000725	3.85e-06	4.11e-07	.0001063	.0002373	-.0000196	-.0000458	.0371973
-4.86e-06	.0000141	-9.35e-07	-1.68e-06	-8.93e-06	-.0000196	3.19e-06	9.41e-06	-.0062316
8.48e-07	.0000545	-3.11e-06	-6.96e-06	9.26e-07	-.0000458	9.41e-06	.0031176	-.0183986
.0091803	-.0284389	.0018088	.003324	.0169456	.0371973	-.0062316	-.0183986	12.17578
								
								
								
								
								
								
								
								
								
								
								
