fe_polem5vcv1	fe_polem5vcv2	fe_polem5vcv3	fe_polem5vcv4	fe_polem5vcv5	fe_polem5vcv6	fe_polem5vcv7	fe_polem5vcv8	fe_polem5vcv9
.0000274	2.36e-06	-5.06e-08	-6.88e-08	-7.78e-07	9.73e-07	-4.00e-08	-3.60e-07	.0000669
2.36e-06	.0005131	-2.80e-06	-5.73e-06	6.42e-06	4.74e-06	-2.59e-06	.0000162	.0048078
-5.06e-08	-2.80e-06	8.01e-07	9.59e-08	-2.76e-07	-1.17e-07	3.71e-08	4.39e-07	-.0000708
-6.88e-08	-5.73e-06	9.59e-08	1.89e-07	-1.41e-08	9.26e-09	1.62e-08	-3.73e-07	-.0000293
-7.78e-07	6.42e-06	-2.76e-07	-1.41e-08	4.78e-06	7.45e-07	-9.73e-08	-7.76e-07	.0001821
9.73e-07	4.74e-06	-1.17e-07	9.26e-09	7.45e-07	1.35e-06	-1.18e-07	3.55e-07	.0002185
-4.00e-08	-2.59e-06	3.71e-08	1.62e-08	-9.73e-08	-1.18e-07	2.56e-08	-5.13e-08	-.0000482
-3.60e-07	.0000162	4.39e-07	-3.73e-07	-7.76e-07	3.55e-07	-5.13e-08	.0000761	.0000901
.0000669	.0048078	-.0000708	-.0000293	.0001821	.0002185	-.0000482	.0000901	.090836
								
								
								
								
								
								
								
								
								
								
								
