fe_interact4vcv1	fe_interact4vcv2	fe_interact4vcv3	fe_interact4vcv4	fe_interact4vcv5	fe_interact4vcv6	fe_interact4vcv7	fe_interact4vcv8	fe_interact4vcv9	fe_interact4vcv10	fe_interact4vcv11
.0000218	.0000103	.0000141	.0000115	-1.87e-07	-2.08e-07	3.34e-07	6.92e-07	-5.23e-08	.0000108	.00009
.0000103	.0000311	.0000146	2.09e-06	4.64e-07	4.19e-08	-1.38e-06	6.29e-07	-1.48e-08	7.09e-07	.0000199
.0000141	.0000146	.0000231	8.94e-06	-1.11e-06	-1.10e-07	1.20e-07	9.56e-07	-1.25e-07	8.99e-06	.0002326
.0000115	2.09e-06	8.94e-06	.000353	-3.08e-06	-3.85e-06	4.82e-06	3.77e-06	-1.84e-06	.0000129	.0034269
-1.87e-07	4.64e-07	-1.11e-06	-3.08e-06	8.58e-07	1.10e-07	-1.44e-07	-1.27e-07	3.68e-08	3.07e-07	-.0000701
-2.08e-07	4.19e-08	-1.10e-07	-3.85e-06	1.10e-07	1.29e-07	-3.54e-08	-7.00e-09	1.21e-08	-1.72e-07	-.000022
3.34e-07	-1.38e-06	1.20e-07	4.82e-06	-1.44e-07	-3.54e-08	2.51e-06	4.75e-07	-6.19e-08	3.45e-07	.0001155
6.92e-07	6.29e-07	9.56e-07	3.77e-06	-1.27e-07	-7.00e-09	4.75e-07	9.68e-07	-8.46e-08	-1.32e-07	.0001568
-5.23e-08	-1.48e-08	-1.25e-07	-1.84e-06	3.68e-08	1.21e-08	-6.19e-08	-8.46e-08	1.81e-08	-5.17e-10	-.000034
.0000108	7.09e-07	8.99e-06	.0000129	3.07e-07	-1.72e-07	3.45e-07	-1.32e-07	-5.17e-10	.0000701	-5.37e-06
.00009	.0000199	.0002326	.0034269	-.0000701	-.000022	.0001155	.0001568	-.000034	-5.37e-06	.0639927
										
										
										
										
										
										
										
										
										
