fe_interact3vcv1	fe_interact3vcv2	fe_interact3vcv3	fe_interact3vcv4	fe_interact3vcv5	fe_interact3vcv6	fe_interact3vcv7	fe_interact3vcv8	fe_interact3vcv9	fe_interact3vcv10	fe_interact3vcv11
.0000212	6.70e-06	.0000131	7.16e-06	-3.69e-07	-1.20e-07	-1.06e-06	4.75e-07	-4.04e-08	9.85e-06	.0000709
6.70e-06	.0000196	9.72e-06	1.36e-06	3.88e-07	3.32e-08	-9.70e-07	3.94e-07	-4.34e-09	1.75e-06	2.69e-06
.0000131	9.72e-06	.0000202	5.52e-06	-5.30e-07	-4.76e-08	-9.26e-07	3.32e-07	-5.79e-08	.000011	.0001069
7.16e-06	1.36e-06	5.52e-06	.0002363	-2.66e-06	-2.64e-06	3.07e-06	2.61e-06	-1.26e-06	4.59e-06	.002345
-3.69e-07	3.88e-07	-5.30e-07	-2.66e-06	7.48e-07	9.47e-08	-1.43e-07	-9.83e-08	2.88e-08	7.96e-07	-.0000547
-1.20e-07	3.32e-08	-4.76e-08	-2.64e-06	9.47e-08	8.85e-08	-1.85e-08	-9.80e-09	9.20e-09	-1.19e-07	-.0000168
-1.06e-06	-9.70e-07	-9.26e-07	3.07e-06	-1.43e-07	-1.85e-08	1.75e-06	2.65e-07	-3.76e-08	-3.57e-08	.0000704
4.75e-07	3.94e-07	3.32e-07	2.61e-06	-9.83e-08	-9.80e-09	2.65e-07	6.33e-07	-5.53e-08	-2.98e-07	.0001025
-4.04e-08	-4.34e-09	-5.79e-08	-1.26e-06	2.88e-08	9.20e-09	-3.76e-08	-5.53e-08	1.20e-08	9.64e-08	-.0000225
9.85e-06	1.75e-06	.000011	4.59e-06	7.96e-07	-1.19e-07	-3.57e-08	-2.98e-07	9.64e-08	.0000747	-.0001911
.0000709	2.69e-06	.0001069	.002345	-.0000547	-.0000168	.0000704	.0001025	-.0000225	-.0001911	.0423871
										
										
										
										
										
										
										
										
										
