fe_fertilityexist10vcv1	fe_fertilityexist10vcv2	fe_fertilityexist10vcv3	fe_fertilityexist10vcv4	fe_fertilityexist10vcv5	fe_fertilityexist10vcv6	fe_fertilityexist10vcv7	fe_fertilityexist10vcv8	fe_fertilityexist10vcv9
.0161173	-.0007947	-.0000476	-.0000239	.0004791	.0005574	-.0000405	-.0020058	.0785221
-.0007947	.0007822	-3.96e-06	-9.32e-07	-.0001603	-.0002478	.000057	.0001938	-.1144418
-.0000476	-3.96e-06	.0000107	8.53e-06	-6.40e-07	.0000155	-4.70e-06	-.0000157	.0092059
-.0000239	-9.32e-07	8.53e-06	.0000197	5.82e-08	6.93e-06	-6.39e-06	-.0000238	.0126278
.0004791	-.0001603	-6.40e-07	5.82e-08	.0003348	.0003107	-.0000321	-.0001539	.0617461
.0005574	-.0002478	.0000155	6.93e-06	.0003107	.0006362	-.0000614	-.0002767	.1173433
-.0000405	.000057	-4.70e-06	-6.39e-06	-.0000321	-.0000614	.0000127	.0000389	-.0248589
-.0020058	.0001938	-.0000157	-.0000238	-.0001539	-.0002767	.0000389	.0055749	-.0753365
.0785221	-.1144418	.0092059	.0126278	.0617461	.1173433	-.0248589	-.0753365	48.82116
								
								
								
								
								
								
								
								
								
								
								
