fe_fertilityexist5vcv1	fe_fertilityexist5vcv2	fe_fertilityexist5vcv3	fe_fertilityexist5vcv4	fe_fertilityexist5vcv5	fe_fertilityexist5vcv6	fe_fertilityexist5vcv7	fe_fertilityexist5vcv8	fe_fertilityexist5vcv9
.0037192	-.0002197	-.00003	-.0000197	.0000718	.0002363	-.0000157	-.0005472	.0299916
-.0002197	.0002397	4.06e-06	3.92e-06	-.0000317	-.000074	.000014	.0000679	-.0282894
-.00003	4.06e-06	5.15e-06	3.51e-06	-3.21e-07	3.88e-06	-9.17e-07	-5.13e-06	.0017685
-.0000197	3.92e-06	3.51e-06	7.06e-06	2.67e-07	4.72e-07	-1.67e-06	-7.13e-06	.0033029
.0000718	-.0000317	-3.21e-07	2.67e-07	.0001311	.0001074	-9.21e-06	-3.20e-06	.017484
.0002363	-.000074	3.88e-06	4.72e-07	.0001074	.0002352	-.0000195	-.0000457	.0369626
-.0000157	.000014	-9.17e-07	-1.67e-06	-9.21e-06	-.0000195	3.17e-06	9.92e-06	-.0061868
-.0005472	.0000679	-5.13e-06	-7.13e-06	-3.20e-06	-.0000457	9.92e-06	.0030752	-.0194579
.0299916	-.0282894	.0017685	.0033029	.017484	.0369626	-.0061868	-.0194579	12.08826
								
								
								
								
								
								
								
								
								
								
								
