fe_polem0vcv1	fe_polem0vcv2	fe_polem0vcv3	fe_polem0vcv4	fe_polem0vcv5	fe_polem0vcv6	fe_polem0vcv7	fe_polem0vcv8	fe_polem0vcv9
1.54e-06	1.74e-07	-2.70e-09	-8.57e-09	-9.14e-08	1.10e-08	1.26e-09	-7.47e-07	-2.81e-06
1.74e-07	.0000234	-4.39e-07	-2.86e-07	6.04e-07	2.12e-07	-1.11e-07	-1.60e-06	.0002059
-2.70e-09	-4.39e-07	1.88e-07	7.91e-09	-4.34e-08	-1.74e-08	4.07e-09	2.05e-07	-7.68e-06
-8.57e-09	-2.86e-07	7.91e-09	8.78e-09	-2.44e-09	-2.80e-09	1.11e-09	1.47e-08	-2.03e-06
-9.14e-08	6.04e-07	-4.34e-08	-2.44e-09	6.95e-07	3.92e-08	-4.94e-09	-2.13e-07	9.09e-06
1.10e-08	2.12e-07	-1.74e-08	-2.80e-09	3.92e-08	4.19e-08	-3.62e-09	-6.78e-08	6.68e-06
1.26e-09	-1.11e-07	4.07e-09	1.11e-09	-4.94e-09	-3.62e-09	8.68e-10	1.36e-08	-1.63e-06
-7.47e-07	-1.60e-06	2.05e-07	1.47e-08	-2.13e-07	-6.78e-08	1.36e-08	.000013	-.0000254
-2.81e-06	.0002059	-7.68e-06	-2.03e-06	9.09e-06	6.68e-06	-1.63e-06	-.0000254	.0030522
								
								
								
								
								
								
								
								
								
								
								
