fe_polemwardur3vcv1	fe_polemwardur3vcv2	fe_polemwardur3vcv3	fe_polemwardur3vcv4	fe_polemwardur3vcv5	fe_polemwardur3vcv6	fe_polemwardur3vcv7	fe_polemwardur3vcv8	fe_polemwardur3vcv9
2.58e-07	-2.92e-07	3.47e-08	9.69e-09	-8.59e-08	9.55e-08	-2.63e-09	-9.41e-08	4.41e-06
-2.92e-07	.0002396	-2.70e-06	-2.64e-06	3.68e-06	2.67e-06	-1.28e-06	4.27e-06	.00239
3.47e-08	-2.70e-06	7.56e-07	9.71e-08	-1.34e-07	-1.04e-07	2.95e-08	7.65e-07	-.0000561
9.69e-09	-2.64e-06	9.71e-08	8.71e-08	-2.63e-08	-8.70e-09	9.36e-09	-1.26e-07	-.0000172
-8.59e-08	3.68e-06	-1.34e-07	-2.63e-08	1.79e-06	2.37e-07	-3.81e-08	-2.22e-07	.0000713
9.55e-08	2.67e-06	-1.04e-07	-8.70e-09	2.37e-07	6.20e-07	-5.51e-08	-2.33e-07	.0001022
-2.63e-09	-1.28e-06	2.95e-08	9.36e-09	-3.81e-08	-5.51e-08	1.21e-08	9.11e-08	-.0000228
-9.41e-08	4.27e-06	7.65e-07	-1.26e-07	-2.22e-07	-2.33e-07	9.11e-08	.0000757	-.0001801
4.41e-06	.00239	-.0000561	-.0000172	.0000713	.0001022	-.0000228	-.0001801	.0428146
								
								
								
								
								
								
								
								
								
								
								
