fe_polemintermed4vcv1	fe_polemintermed4vcv2	fe_polemintermed4vcv3	fe_polemintermed4vcv4	fe_polemintermed4vcv5	fe_polemintermed4vcv6	fe_polemintermed4vcv7	fe_polemintermed4vcv8	fe_polemintermed4vcv9	fe_polemintermed4vcv10	fe_polemintermed4vcv11	fe_polemintermed4vcv12	fe_polemintermed4vcv13	fe_polemintermed4vcv14
.0000172	-3.97e-06	-4.91e-06	-1.84e-06	1.55e-06	4.79e-07	7.64e-07	1.25e-07	3.49e-08	-1.17e-06	2.13e-08	-3.78e-08	1.74e-06	.0000317
-3.97e-06	.0003676	-.0000118	.0000105	-4.00e-06	4.32e-07	-1.86e-07	-3.64e-06	-4.28e-06	4.34e-06	2.96e-06	-1.92e-06	.0000285	.0035287
-4.91e-06	-.0000118	.000023	.0000227	-2.15e-07	-7.79e-07	2.03e-06	-2.89e-07	4.10e-07	1.32e-06	7.19e-07	1.09e-07	-2.27e-06	-.0001546
-1.84e-06	.0000105	.0000227	.0000521	-5.01e-06	-1.52e-06	5.32e-06	5.42e-07	4.58e-07	2.01e-06	8.57e-07	1.70e-07	.0000124	-.0002342
1.55e-06	-4.00e-06	-2.15e-07	-5.01e-06	6.59e-06	5.15e-07	5.58e-07	2.19e-08	3.55e-08	1.09e-08	1.37e-08	-6.90e-08	-1.84e-06	.000092
4.79e-07	4.32e-07	-7.79e-07	-1.52e-06	5.15e-07	7.01e-07	-5.99e-07	-1.33e-07	-2.41e-08	-5.68e-07	-6.84e-07	-7.59e-08	3.26e-07	.0000921
7.64e-07	-1.86e-07	2.03e-06	5.32e-06	5.58e-07	-5.99e-07	.000026	6.33e-07	1.60e-07	1.66e-07	6.88e-07	9.03e-08	-2.71e-06	-.0001327
1.25e-07	-3.64e-06	-2.89e-07	5.42e-07	2.19e-08	-1.33e-07	6.33e-07	9.15e-07	1.44e-07	-6.83e-08	8.79e-09	5.35e-08	5.69e-07	-.0000921
3.49e-08	-4.28e-06	4.10e-07	4.58e-07	3.55e-08	-2.41e-08	1.60e-07	1.44e-07	1.45e-07	-2.15e-08	-1.27e-08	1.92e-08	-1.53e-07	-.0000337
-1.17e-06	4.34e-06	1.32e-06	2.01e-06	1.09e-08	-5.68e-07	1.66e-07	-6.83e-08	-2.15e-08	2.67e-06	8.65e-07	8.62e-09	6.44e-07	.0000243
2.13e-08	2.96e-06	7.19e-07	8.57e-07	1.37e-08	-6.84e-07	6.88e-07	8.79e-09	-1.27e-08	8.65e-07	1.58e-06	-4.06e-09	-1.03e-06	.0000552
-3.78e-08	-1.92e-06	1.09e-07	1.70e-07	-6.90e-08	-7.59e-08	9.03e-08	5.35e-08	1.92e-08	8.62e-09	-4.06e-09	2.56e-08	-6.84e-08	-.0000426
1.74e-06	.0000285	-2.27e-06	.0000124	-1.84e-06	3.26e-07	-2.71e-06	5.69e-07	-1.53e-07	6.44e-07	-1.03e-06	-6.84e-08	.0000665	.0000932
.0000317	.0035287	-.0001546	-.0002342	.000092	.0000921	-.0001327	-.0000921	-.0000337	.0000243	.0000552	-.0000426	.0000932	.0735117
													
													
													
													
													
													
