fe_fertility4vcv1	fe_fertility4vcv2	fe_fertility4vcv3	fe_fertility4vcv4	fe_fertility4vcv5	fe_fertility4vcv6	fe_fertility4vcv7	fe_fertility4vcv8	fe_fertility4vcv9
.000641	-.0000233	-2.64e-06	-5.50e-06	.0000325	.0000467	-3.39e-06	8.21e-06	.0063583
-.0000233	.0001611	2.90e-06	2.73e-06	-.0000213	-.0000481	9.04e-06	.0000388	-.0182444
-2.64e-06	2.90e-06	4.31e-06	2.80e-06	-1.51e-07	2.19e-06	-5.75e-07	7.56e-07	.0011096
-5.50e-06	2.73e-06	2.80e-06	5.10e-06	-1.98e-07	-2.18e-08	-1.09e-06	-3.93e-06	.002156
.0000325	-.0000213	-1.51e-07	-1.98e-07	.0000901	.0000717	-5.86e-06	.0000109	.011102
.0000467	-.0000481	2.19e-06	-2.18e-08	.0000717	.0001651	-.0000133	-.0000207	.0251818
-3.39e-06	9.04e-06	-5.75e-07	-1.09e-06	-5.86e-06	-.0000133	2.07e-06	5.81e-06	-.0040337
8.21e-06	.0000388	7.56e-07	-3.93e-06	.0000109	-.0000207	5.81e-06	.0023381	-.0114433
.0063583	-.0182444	.0011096	.002156	.011102	.0251818	-.0040337	-.0114433	7.871904
								
								
								
								
								
								
								
								
								
								
								
