fe_polem3vcv1	fe_polem3vcv2	fe_polem3vcv3	fe_polem3vcv4	fe_polem3vcv5	fe_polem3vcv6	fe_polem3vcv7	fe_polem3vcv8	fe_polem3vcv9
.000013	2.38e-06	1.73e-07	-1.12e-08	-8.36e-07	4.23e-07	-1.40e-08	2.95e-06	.0000216
2.38e-06	.0002404	-2.66e-06	-2.68e-06	3.11e-06	2.69e-06	-1.27e-06	5.31e-06	.0023704
1.73e-07	-2.66e-06	7.55e-07	9.58e-08	-1.29e-07	-9.78e-08	2.89e-08	7.84e-07	-.0000551
-1.12e-08	-2.68e-06	9.58e-08	8.96e-08	-1.81e-08	-9.42e-09	9.31e-09	-1.29e-07	-.000017
-8.36e-07	3.11e-06	-1.29e-07	-1.81e-08	1.77e-06	2.64e-07	-3.75e-08	-1.38e-07	.0000701
4.23e-07	2.69e-06	-9.78e-08	-9.42e-09	2.64e-07	6.34e-07	-5.59e-08	-2.46e-07	.0001036
-1.40e-08	-1.27e-06	2.89e-08	9.31e-09	-3.75e-08	-5.59e-08	1.21e-08	8.99e-08	-.0000227
2.95e-06	5.31e-06	7.84e-07	-1.29e-07	-1.38e-07	-2.46e-07	8.99e-08	.0000741	-.0001786
.0000216	.0023704	-.0000551	-.000017	.0000701	.0001036	-.0000227	-.0001786	.0426536
								
								
								
								
								
								
								
								
								
								
								
