fe_polemintermed15vcv1	fe_polemintermed15vcv2	fe_polemintermed15vcv3	fe_polemintermed15vcv4	fe_polemintermed15vcv5	fe_polemintermed15vcv6	fe_polemintermed15vcv7	fe_polemintermed15vcv8	fe_polemintermed15vcv9	fe_polemintermed15vcv10	fe_polemintermed15vcv11	fe_polemintermed15vcv12	fe_polemintermed15vcv13	fe_polemintermed15vcv14
.0000768	.0000805	-.0000106	-5.34e-06	4.55e-06	2.47e-06	1.20e-06	-9.02e-07	-9.20e-07	-7.77e-06	5.31e-06	-1.45e-06	-.0000186	.0025389
.0000805	.0021576	-.0000166	.000051	-4.72e-06	9.17e-06	.000038	-.0000107	-.0000269	-.0000119	.000034	-.0000128	9.09e-06	.0230737
-.0000106	-.0000166	.0001057	.0001223	-4.05e-06	-4.10e-06	-.0000161	-1.22e-06	1.69e-07	3.69e-06	-3.53e-06	1.17e-06	.0000869	-.0019463
-5.34e-06	.000051	.0001223	.0001877	1.19e-06	-3.95e-06	-.0000242	-2.00e-06	-1.47e-06	6.05e-06	-2.40e-06	9.44e-07	.0001048	-.001594
4.55e-06	-4.72e-06	-4.05e-06	1.19e-06	.0000102	2.23e-06	2.46e-06	5.36e-07	2.07e-07	3.53e-07	-9.12e-07	-3.40e-07	-.0000101	.0004732
2.47e-06	9.17e-06	-4.10e-06	-3.95e-06	2.23e-06	5.69e-06	-1.50e-06	-3.73e-07	-3.64e-07	-3.12e-06	-3.99e-06	-7.69e-07	-.0000144	.0010283
1.20e-06	.000038	-.0000161	-.0000242	2.46e-06	-1.50e-06	.0000317	1.35e-06	9.35e-07	-3.87e-06	2.85e-06	-2.08e-07	-2.06e-06	.000512
-9.02e-07	-.0000107	-1.22e-06	-2.00e-06	5.36e-07	-3.73e-07	1.35e-06	7.07e-07	3.97e-07	2.25e-07	5.15e-07	9.28e-08	1.96e-07	-.0001471
-9.20e-07	-.0000269	1.69e-07	-1.47e-06	2.07e-07	-3.64e-07	9.35e-07	3.97e-07	9.36e-07	4.31e-07	-1.31e-07	1.26e-07	2.53e-07	-.0002015
-7.77e-06	-.0000119	3.69e-06	6.05e-06	3.53e-07	-3.12e-06	-3.87e-06	2.25e-07	4.31e-07	.000015	3.44e-06	3.01e-07	7.39e-06	-.0003353
5.31e-06	.000034	-3.53e-06	-2.40e-06	-9.12e-07	-3.99e-06	2.85e-06	5.15e-07	-1.31e-07	3.44e-06	.0000104	-1.93e-07	4.81e-06	.0006389
-1.45e-06	-.0000128	1.17e-06	9.44e-07	-3.40e-07	-7.69e-07	-2.08e-07	9.28e-08	1.26e-07	3.01e-07	-1.93e-07	2.46e-07	2.21e-06	-.0004068
-.0000186	9.09e-06	.0000869	.0001048	-.0000101	-.0000144	-2.06e-06	1.96e-07	2.53e-07	7.39e-06	4.81e-06	2.21e-06	.0002528	-.0031406
.0025389	.0230737	-.0019463	-.001594	.0004732	.0010283	.000512	-.0001471	-.0002015	-.0003353	.0006389	-.0004068	-.0031406	.6910048
													
													
													
													
													
													
