fe_interact0vcv1	fe_interact0vcv2	fe_interact0vcv3	fe_interact0vcv4	fe_interact0vcv5	fe_interact0vcv6	fe_interact0vcv7	fe_interact0vcv8	fe_interact0vcv9	fe_interact0vcv10	fe_interact0vcv11
2.76e-06	2.94e-07	-2.70e-07	-1.57e-06	2.69e-08	2.55e-08	2.22e-08	4.35e-08	6.09e-09	-1.86e-06	-.0000117
2.94e-07	2.22e-06	-2.85e-07	7.78e-07	-1.81e-08	-2.15e-08	-1.80e-07	-4.19e-09	-3.12e-10	-2.97e-07	1.30e-07
-2.70e-07	-2.85e-07	5.20e-06	5.89e-07	-4.59e-08	-6.73e-09	-2.48e-07	3.05e-08	-4.87e-09	3.50e-07	8.97e-06
-1.57e-06	7.78e-07	5.89e-07	.0000237	-4.53e-07	-2.96e-07	5.13e-07	1.96e-07	-1.12e-07	-1.53e-06	.0002079
2.69e-08	-1.81e-08	-4.59e-08	-4.53e-07	1.88e-07	7.94e-09	-4.22e-08	-1.70e-08	4.12e-09	2.01e-07	-7.77e-06
2.55e-08	-2.15e-08	-6.73e-09	-2.96e-07	7.94e-09	8.95e-09	-8.12e-10	-2.69e-09	1.16e-09	1.51e-08	-2.12e-06
2.22e-08	-1.80e-07	-2.48e-07	5.13e-07	-4.22e-08	-8.12e-10	6.97e-07	3.99e-08	-4.76e-09	-2.31e-07	8.76e-06
4.35e-08	-4.19e-09	3.05e-08	1.96e-07	-1.70e-08	-2.69e-09	3.99e-08	4.18e-08	-3.50e-09	-7.22e-08	6.46e-06
6.09e-09	-3.12e-10	-4.87e-09	-1.12e-07	4.12e-09	1.16e-09	-4.76e-09	-3.50e-09	8.62e-10	1.38e-08	-1.62e-06
-1.86e-06	-2.97e-07	3.50e-07	-1.53e-06	2.01e-07	1.51e-08	-2.31e-07	-7.22e-08	1.38e-08	.0000129	-.0000258
-.0000117	1.30e-07	8.97e-06	.0002079	-7.77e-06	-2.12e-06	8.76e-06	6.46e-06	-1.62e-06	-.0000258	.003029
										
										
										
										
										
										
										
										
										
