fe_fertilityexist2vcv1	fe_fertilityexist2vcv2	fe_fertilityexist2vcv3	fe_fertilityexist2vcv4	fe_fertilityexist2vcv5	fe_fertilityexist2vcv6	fe_fertilityexist2vcv7	fe_fertilityexist2vcv8	fe_fertilityexist2vcv9
.0008382	-.000035	-9.37e-06	-8.19e-06	2.25e-06	.0000537	-2.86e-06	-.0000804	.0053503
-.000035	.0000553	2.27e-06	1.77e-06	-1.64e-06	-.0000154	2.74e-06	.0000163	-.0055479
-9.37e-06	2.27e-06	1.69e-06	1.05e-06	-1.97e-07	5.47e-07	-1.07e-07	-2.22e-07	.0001977
-8.19e-06	1.77e-06	1.05e-06	1.96e-06	3.58e-07	-2.38e-07	-3.14e-07	-6.18e-07	.000617
2.25e-06	-1.64e-06	-1.97e-07	3.58e-07	.0000179	.0000153	-1.52e-06	5.26e-06	.0028971
.0000537	-.0000154	5.47e-07	-2.38e-07	.0000153	.0000548	-4.33e-06	2.81e-06	.0081908
-2.86e-06	2.74e-06	-1.07e-07	-3.14e-07	-1.52e-06	-4.33e-06	6.32e-07	1.47e-06	-.001229
-.0000804	.0000163	-2.22e-07	-6.18e-07	5.26e-06	2.81e-06	1.47e-06	.0009451	-.002983
.0053503	-.0055479	.0001977	.000617	.0028971	.0081908	-.001229	-.002983	2.394281
								
								
								
								
								
								
								
								
								
								
								
