fe_polemintermed10vcv1	fe_polemintermed10vcv2	fe_polemintermed10vcv3	fe_polemintermed10vcv4	fe_polemintermed10vcv5	fe_polemintermed10vcv6	fe_polemintermed10vcv7	fe_polemintermed10vcv8	fe_polemintermed10vcv9	fe_polemintermed10vcv10	fe_polemintermed10vcv11	fe_polemintermed10vcv12	fe_polemintermed10vcv13	fe_polemintermed10vcv14
.0000575	-.000013	1.56e-07	-1.31e-07	2.49e-06	1.26e-06	-9.10e-06	-5.34e-07	4.81e-07	-5.45e-06	1.58e-06	-4.43e-07	3.67e-06	.0007459
-.000013	.0015447	1.57e-07	.0000483	-.0000166	.0000101	.0000396	-8.01e-06	-.0000204	-2.91e-06	4.52e-06	-8.62e-06	.0000926	.0152443
1.56e-07	1.57e-07	.0000643	.0000837	-7.75e-06	-1.83e-06	-4.84e-06	-1.03e-06	4.34e-07	1.79e-06	-1.56e-06	3.48e-07	.000037	-.0005468
-1.31e-07	.0000483	.0000837	.0001643	-1.91e-06	-4.30e-06	-7.18e-07	5.06e-07	2.28e-07	6.28e-06	3.29e-07	6.09e-07	.0000764	-.0009147
2.49e-06	-.0000166	-7.75e-06	-1.91e-06	.0000119	1.63e-06	1.38e-06	9.69e-07	3.97e-07	3.88e-07	-6.21e-07	-2.08e-07	-6.06e-06	.0002732
1.26e-06	.0000101	-1.83e-06	-4.30e-06	1.63e-06	3.16e-06	-9.14e-07	-1.49e-07	-1.79e-07	-2.11e-06	-2.83e-06	-3.99e-07	-7.92e-06	.0005183
-9.10e-06	.0000396	-4.84e-06	-7.18e-07	1.38e-06	-9.14e-07	.0000369	7.78e-07	-2.03e-07	1.31e-06	-3.20e-07	1.71e-07	.0000175	-.0002715
-5.34e-07	-8.01e-06	-1.03e-06	5.06e-07	9.69e-07	-1.49e-07	7.78e-07	6.51e-07	2.72e-07	2.73e-07	1.90e-07	6.16e-08	1.18e-06	-.000106
4.81e-07	-.0000204	4.34e-07	2.28e-07	3.97e-07	-1.79e-07	-2.03e-07	2.72e-07	6.37e-07	1.05e-07	1.09e-07	8.01e-08	1.63e-06	-.0001331
-5.45e-06	-2.91e-06	1.79e-06	6.28e-06	3.88e-07	-2.11e-06	1.31e-06	2.73e-07	1.05e-07	9.85e-06	2.83e-06	1.74e-07	6.67e-06	-.0001773
1.58e-06	4.52e-06	-1.56e-06	3.29e-07	-6.21e-07	-2.83e-06	-3.20e-07	1.90e-07	1.09e-07	2.83e-06	6.45e-06	1.28e-08	8.81e-06	.0001753
-4.43e-07	-8.62e-06	3.48e-07	6.09e-07	-2.08e-07	-3.99e-07	1.71e-07	6.16e-08	8.01e-08	1.74e-07	1.28e-08	1.26e-07	-1.77e-07	-.0002084
3.67e-06	.0000926	.000037	.0000764	-6.06e-06	-7.92e-06	.0000175	1.18e-06	1.63e-06	6.67e-06	8.81e-06	-1.77e-07	.0002254	.000906
.0007459	.0152443	-.0005468	-.0009147	.0002732	.0005183	-.0002715	-.000106	-.0001331	-.0001773	.0001753	-.0002084	.000906	.3545226
													
													
													
													
													
													
