fe_polem1vcv1	fe_polem1vcv2	fe_polem1vcv3	fe_polem1vcv4	fe_polem1vcv5	fe_polem1vcv6	fe_polem1vcv7	fe_polem1vcv8	fe_polem1vcv9
4.35e-06	5.53e-07	-7.47e-09	-1.54e-08	-4.98e-07	1.19e-09	4.70e-09	-1.49e-06	-9.94e-06
5.53e-07	.0000717	-1.40e-06	-8.37e-07	7.70e-07	8.55e-07	-3.63e-07	-2.18e-06	.0006722
-7.47e-09	-1.40e-06	5.76e-07	4.98e-08	-6.38e-08	-3.92e-08	1.16e-08	5.17e-07	-.0000219
-1.54e-08	-8.37e-07	4.98e-08	2.69e-08	-1.70e-09	-6.72e-09	3.08e-09	-1.36e-08	-5.63e-06
-4.98e-07	7.70e-07	-6.38e-08	-1.70e-09	7.94e-07	7.95e-08	-7.71e-09	4.81e-07	.0000142
1.19e-09	8.55e-07	-3.92e-08	-6.72e-09	7.95e-08	1.51e-07	-1.36e-08	-1.59e-08	.0000252
4.70e-09	-3.63e-07	1.16e-08	3.08e-09	-7.71e-09	-1.36e-08	3.05e-09	3.27e-08	-5.71e-06
-1.49e-06	-2.18e-06	5.17e-07	-1.36e-08	4.81e-07	-1.59e-08	3.27e-08	.000033	-.0000633
-9.94e-06	.0006722	-.0000219	-5.63e-06	.0000142	.0000252	-5.71e-06	-.0000633	.0107215
								
								
								
								
								
								
								
								
								
								
								
