fe_polemwardur4vcv1	fe_polemwardur4vcv2	fe_polemwardur4vcv3	fe_polemwardur4vcv4	fe_polemwardur4vcv5	fe_polemwardur4vcv6	fe_polemwardur4vcv7	fe_polemwardur4vcv8	fe_polemwardur4vcv9
4.22e-07	-2.38e-07	3.52e-08	9.88e-09	-1.38e-07	1.45e-07	-5.08e-09	-1.36e-07	8.74e-06
-2.38e-07	.0003588	-3.13e-06	-3.85e-06	5.62e-06	3.86e-06	-1.88e-06	.0000135	.003499
3.52e-08	-3.13e-06	8.63e-07	1.12e-07	-1.50e-07	-1.33e-07	3.74e-08	2.91e-07	-.0000713
9.88e-09	-3.85e-06	1.12e-07	1.27e-07	-4.58e-08	-4.00e-09	1.23e-08	-2.07e-07	-.0000223
-1.38e-07	5.62e-06	-1.50e-07	-4.58e-08	2.51e-06	4.33e-07	-6.36e-08	2.91e-07	.0001188
1.45e-07	3.86e-06	-1.33e-07	-4.00e-09	4.33e-07	9.46e-07	-8.44e-08	-9.05e-08	.0001566
-5.08e-09	-1.88e-06	3.74e-08	1.23e-08	-6.36e-08	-8.44e-08	1.83e-08	-3.75e-09	-.0000344
-1.36e-07	.0000135	2.91e-07	-2.07e-07	2.91e-07	-9.05e-08	-3.75e-09	.0000713	1.08e-06
8.74e-06	.003499	-.0000713	-.0000223	.0001188	.0001566	-.0000344	1.08e-06	.0647056
								
								
								
								
								
								
								
								
								
								
								
