fe_polem10vcv1	fe_polem10vcv2	fe_polem10vcv3	fe_polem10vcv4	fe_polem10vcv5	fe_polem10vcv6	fe_polem10vcv7	fe_polem10vcv8	fe_polem10vcv9
.0000642	.000024	-6.23e-07	-1.20e-07	-4.07e-06	2.88e-06	-4.04e-07	.0000105	.0007526
.000024	.0014496	-6.25e-06	-.0000187	8.16e-07	.0000134	-7.19e-06	.0000711	.0133339
-6.23e-07	-6.25e-06	6.19e-07	2.35e-07	2.04e-07	9.12e-08	3.25e-08	5.64e-07	-.0000618
-1.20e-07	-.0000187	2.35e-07	6.14e-07	1.55e-07	5.15e-08	4.66e-08	1.06e-06	-.0000835
-4.07e-06	8.16e-07	2.04e-07	1.55e-07	9.53e-06	1.47e-06	-1.13e-07	2.99e-06	.0002091
2.88e-06	.0000134	9.12e-08	5.15e-08	1.47e-06	4.16e-06	-3.71e-07	5.09e-06	.0006884
-4.04e-07	-7.19e-06	3.25e-08	4.66e-08	-1.13e-07	-3.71e-07	8.03e-08	-1.16e-06	-.0001514
.0000105	.0000711	5.64e-07	1.06e-06	2.99e-06	5.09e-06	-1.16e-06	.0001937	.0021975
.0007526	.0133339	-.0000618	-.0000835	.0002091	.0006884	-.0001514	.0021975	.2855625
								
								
								
								
								
								
								
								
								
								
								
