fe_fertilityexist15vcv1	fe_fertilityexist15vcv2	fe_fertilityexist15vcv3	fe_fertilityexist15vcv4	fe_fertilityexist15vcv5	fe_fertilityexist15vcv6	fe_fertilityexist15vcv7	fe_fertilityexist15vcv8	fe_fertilityexist15vcv9
.0255129	-.0008194	.0000296	.0000106	.0009362	.0000948	.0000147	-.0018561	-.0271544
-.0008194	.0012622	-.0000235	-.0000155	-.0002521	-.0003329	.0001117	.0001428	-.2244593
.0000296	-.0000235	.0000134	.0000149	5.05e-07	.0000251	-8.92e-06	-.0000184	.0175694
.0000106	-.0000155	.0000149	.0000324	-3.02e-06	.0000112	-9.77e-06	-.0000284	.0193578
.0009362	-.0002521	5.05e-07	-3.02e-06	.000387	.0003631	-.0000435	-.000249	.0842354
.0000948	-.0003329	.0000251	.0000112	.0003631	.0007794	-.000087	-.0003278	.1672661
.0000147	.0001117	-8.92e-06	-9.77e-06	-.0000435	-.000087	.0000243	.0000504	-.0479162
-.0018561	.0001428	-.0000184	-.0000284	-.000249	-.0003278	.0000504	.005344	-.0974671
-.0271544	-.2244593	.0175694	.0193578	.0842354	.1672661	-.0479162	-.0974671	94.58854
								
								
								
								
								
								
								
								
								
								
								
