fe_polembd4vcv1	fe_polembd4vcv2	fe_polembd4vcv3	fe_polembd4vcv4	fe_polembd4vcv5	fe_polembd4vcv6	fe_polembd4vcv7	fe_polembd4vcv8	fe_polembd4vcv9
8.74e-07	-2.17e-06	-6.00e-09	7.73e-08	1.20e-07	4.19e-07	-5.88e-08	-2.01e-06	.000113
-2.17e-06	.0005443	-2.26e-06	-4.03e-06	.0000105	6.33e-06	-3.34e-06	.0000129	.0062763
-6.00e-09	-2.26e-06	9.37e-07	1.58e-07	1.23e-07	2.16e-08	2.50e-08	1.31e-06	-.0000487
7.73e-08	-4.03e-06	1.58e-07	1.76e-07	-1.87e-08	5.48e-08	2.47e-10	-4.40e-07	9.34e-07
1.20e-07	.0000105	1.23e-07	-1.87e-08	2.93e-06	8.61e-07	-1.22e-07	-6.75e-07	.000229
4.19e-07	6.33e-06	2.16e-08	5.48e-08	8.61e-07	1.75e-06	-1.90e-07	-2.07e-06	.0003577
-5.88e-08	-3.34e-06	2.50e-08	2.47e-10	-1.22e-07	-1.90e-07	5.02e-08	3.35e-07	-.000096
-2.01e-06	.0000129	1.31e-06	-4.40e-07	-6.75e-07	-2.07e-06	3.35e-07	.0000999	-.0006507
.000113	.0062763	-.0000487	9.34e-07	.000229	.0003577	-.000096	-.0006507	.1834841
								
								
								
								
								
								
								
								
								
								
								
