fe_polemwardur10vcv1	fe_polemwardur10vcv2	fe_polemwardur10vcv3	fe_polemwardur10vcv4	fe_polemwardur10vcv5	fe_polemwardur10vcv6	fe_polemwardur10vcv7	fe_polemwardur10vcv8	fe_polemwardur10vcv9
1.34e-06	3.61e-06	-2.82e-08	-8.26e-08	-8.91e-07	5.03e-07	-5.06e-08	-4.74e-07	.0000932
3.61e-06	.0014501	-5.80e-06	-.0000187	2.39e-06	.0000132	-7.16e-06	.0000658	.0132729
-2.82e-08	-5.80e-06	6.28e-07	2.29e-07	2.34e-07	8.18e-08	3.15e-08	4.96e-07	-.00006
-8.26e-08	-.0000187	2.29e-07	6.10e-07	1.12e-07	6.25e-08	4.55e-08	1.16e-06	-.0000813
-8.91e-07	2.39e-06	2.34e-07	1.12e-07	9.64e-06	1.38e-06	-1.08e-07	2.79e-06	.0001994
5.03e-07	.0000132	8.18e-08	6.25e-08	1.38e-06	4.15e-06	-3.73e-07	4.86e-06	.0006926
-5.06e-08	-7.16e-06	3.15e-08	4.55e-08	-1.08e-07	-3.73e-07	8.05e-08	-1.12e-06	-.0001518
-4.74e-07	.0000658	4.96e-07	1.16e-06	2.79e-06	4.86e-06	-1.12e-06	.0001963	.0021361
.0000932	.0132729	-.00006	-.0000813	.0001994	.0006926	-.0001518	.0021361	.2864317
								
								
								
								
								
								
								
								
								
								
								
