fe_fertility5vcv1	fe_fertility5vcv2	fe_fertility5vcv3	fe_fertility5vcv4	fe_fertility5vcv5	fe_fertility5vcv6	fe_fertility5vcv7	fe_fertility5vcv8	fe_fertility5vcv9
.0008828	-.0000805	-5.11e-06	-.0000102	.0000298	.0000604	-1.09e-06	.000102	.0015006
-.0000805	.0003099	3.88e-06	4.11e-06	-2.31e-06	-.0000729	8.35e-06	-.0002051	-.0164867
-5.11e-06	3.88e-06	5.98e-06	3.61e-06	1.64e-06	4.20e-06	-9.74e-07	-4.23e-06	.0018975
-.0000102	4.11e-06	3.61e-06	6.60e-06	1.58e-06	8.60e-07	-1.56e-06	-1.65e-06	.0030731
.0000298	-2.31e-06	1.64e-06	1.58e-06	.0001072	.0000859	-8.06e-06	-.0000192	.0153453
.0000604	-.0000729	4.20e-06	8.60e-07	.0000859	.0002245	-.000018	.0000278	.0339041
-1.09e-06	8.35e-06	-9.74e-07	-1.56e-06	-8.06e-06	-.000018	3.31e-06	.0000116	-.0065037
.000102	-.0002051	-4.23e-06	-1.65e-06	-.0000192	.0000278	.0000116	.0004876	-.0242985
.0015006	-.0164867	.0018975	.0030731	.0153453	.0339041	-.0065037	-.0242985	12.79252
								
								
								
								
								
								
								
								
								
								
								
