fe_fertility3vcv1	fe_fertility3vcv2	fe_fertility3vcv3	fe_fertility3vcv4	fe_fertility3vcv5	fe_fertility3vcv6	fe_fertility3vcv7	fe_fertility3vcv8	fe_fertility3vcv9
.0004194	-.00003	-1.51e-06	-5.19e-06	.0000129	.0000303	-6.77e-07	.0000397	.0010104
-.00003	.0001332	2.61e-06	2.10e-06	-1.41e-06	-.0000315	3.14e-06	-.0000902	-.0061783
-1.51e-06	2.61e-06	3.20e-06	1.91e-06	8.53e-07	1.53e-06	-3.40e-07	-1.91e-06	.0006578
-5.19e-06	2.10e-06	1.91e-06	3.20e-06	7.12e-07	-2.84e-08	-5.74e-07	1.55e-07	.0011309
.0000129	-1.41e-06	8.53e-07	7.12e-07	.0000503	.0000365	-3.23e-06	-6.12e-06	.0061214
.0000303	-.0000315	1.53e-06	-2.84e-08	.0000365	.0000984	-7.42e-06	.0000158	.0139569
-6.77e-07	3.14e-06	-3.40e-07	-5.74e-07	-3.23e-06	-7.42e-06	1.25e-06	4.44e-06	-.0024597
.0000397	-.0000902	-1.91e-06	1.55e-07	-6.12e-06	.0000158	4.44e-06	.0002147	-.0094262
.0010104	-.0061783	.0006578	.0011309	.0061214	.0139569	-.0024597	-.0094262	4.829942
								
								
								
								
								
								
								
								
								
								
								
