fe_polembd10vcv1	fe_polembd10vcv2	fe_polembd10vcv3	fe_polembd10vcv4	fe_polembd10vcv5	fe_polembd10vcv6	fe_polembd10vcv7	fe_polembd10vcv8	fe_polembd10vcv9
1.53e-06	3.86e-06	9.81e-08	1.28e-07	5.51e-07	1.13e-06	-1.01e-07	-9.37e-06	.000191
3.86e-06	.0017561	-1.16e-06	-.0000147	.0000276	.0000184	-.0000117	-.000216	.0220726
9.81e-08	-1.16e-06	6.00e-07	2.84e-07	2.54e-07	1.45e-07	3.58e-08	-6.95e-06	-.0000691
1.28e-07	-.0000147	2.84e-07	7.06e-07	1.27e-07	3.13e-07	2.67e-08	-7.51e-06	-.0000454
5.51e-07	.0000276	2.54e-07	1.27e-07	7.60e-06	2.85e-06	-4.70e-07	-6.73e-06	.0008929
1.13e-06	.0000184	1.45e-07	3.13e-07	2.85e-06	6.60e-06	-7.11e-07	-8.96e-06	.0013429
-1.01e-07	-.0000117	3.58e-08	2.67e-08	-4.70e-07	-7.11e-07	2.22e-07	-2.04e-06	-.0004263
-9.37e-06	-.000216	-6.95e-06	-7.51e-06	-6.73e-06	-8.96e-06	-2.04e-06	.0008984	.0038865
.000191	.0220726	-.0000691	-.0000454	.0008929	.0013429	-.0004263	.0038865	.8184035
								
								
								
								
								
								
								
								
								
								
								
