fe_interact3vcv1	fe_interact3vcv2	fe_interact3vcv3	fe_interact3vcv4	fe_interact3vcv5	fe_interact3vcv6	fe_interact3vcv7	fe_interact3vcv8	fe_interact3vcv9	fe_interact3vcv10	fe_interact3vcv11
.0000198	6.35e-06	.0000127	2.57e-06	-3.20e-07	-1.44e-07	-8.03e-07	4.48e-07	-5.95e-08	8.66e-06	.0001077
6.35e-06	.0000187	9.40e-06	2.28e-06	4.18e-07	7.10e-08	-8.87e-07	3.23e-07	1.95e-08	-5.37e-06	-.000042
.0000127	9.40e-06	.0000195	2.58e-06	-4.98e-07	-4.13e-08	-8.41e-07	2.68e-07	-4.74e-08	1.83e-06	.0000877
2.57e-06	2.28e-06	2.58e-06	.0002293	-2.01e-06	-2.29e-06	2.74e-06	2.15e-06	-1.05e-06	-.0000244	.0019565
-3.20e-07	4.18e-07	-4.98e-07	-2.01e-06	7.25e-07	9.61e-08	-1.30e-07	-1.09e-07	3.14e-08	-1.17e-06	-.0000597
-1.44e-07	7.10e-08	-4.13e-08	-2.29e-06	9.61e-08	9.01e-08	-1.52e-08	-1.60e-08	1.23e-08	-8.24e-07	-.0000227
-8.03e-07	-8.87e-07	-8.41e-07	2.74e-06	-1.30e-07	-1.52e-08	1.56e-06	2.35e-07	-3.20e-08	-3.99e-07	.0000599
4.48e-07	3.23e-07	2.68e-07	2.15e-06	-1.09e-07	-1.60e-08	2.35e-07	6.23e-07	-5.74e-08	9.64e-07	.0001065
-5.95e-08	1.95e-08	-4.74e-08	-1.05e-06	3.14e-08	1.23e-08	-3.20e-08	-5.74e-08	1.42e-08	-6.39e-07	-.0000268
8.66e-06	-5.37e-06	1.83e-06	-.0000244	-1.17e-06	-8.24e-07	-3.99e-07	9.64e-07	-6.39e-07	.0001331	.0012134
.0001077	-.000042	.0000877	.0019565	-.0000597	-.0000227	.0000599	.0001065	-.0000268	.0012134	.0505352
										
										
										
										
										
										
										
										
										
