fe_fertilityexist15vcv1	fe_fertilityexist15vcv2	fe_fertilityexist15vcv3	fe_fertilityexist15vcv4	fe_fertilityexist15vcv5	fe_fertilityexist15vcv6	fe_fertilityexist15vcv7	fe_fertilityexist15vcv8	fe_fertilityexist15vcv9
.0242467	-.0014743	-8.54e-06	.0000177	.0006793	.0000463	.0001127	.0023779	-.2278954
-.0014743	.0018697	-.0000193	-.000012	-.0001845	-.000335	.0000675	-.0014765	-.1332246
-8.54e-06	-.0000193	.0000131	.0000134	7.82e-06	.0000233	-8.15e-06	-7.33e-06	.0160796
.0000177	-.000012	.0000134	.0000295	7.28e-06	.0000112	-9.13e-06	-5.67e-06	.01809
.0006793	-.0001845	7.82e-06	7.28e-06	.0003114	.0002974	-.0000384	.0000622	.0741321
.0000463	-.000335	.0000233	.0000112	.0002974	.0007578	-.0000852	.0000624	.1637103
.0001127	.0000675	-8.15e-06	-9.13e-06	-.0000384	-.0000852	.0000253	.000076	-.0501539
.0023779	-.0014765	-7.33e-06	-5.67e-06	.0000622	.0000624	.000076	.0030513	-.1573746
-.2278954	-.1332246	.0160796	.01809	.0741321	.1637103	-.0501539	-.1573746	99.30676
								
								
								
								
								
								
								
								
								
								
								
