fe_polem10vcv1	fe_polem10vcv2	fe_polem10vcv3	fe_polem10vcv4	fe_polem10vcv5	fe_polem10vcv6	fe_polem10vcv7	fe_polem10vcv8	fe_polem10vcv9
.0000603	.000011	-5.36e-07	3.78e-08	-2.86e-06	2.76e-06	-3.91e-07	.0000107	.0007317
.000011	.0014028	-4.21e-06	-.0000169	5.21e-07	.0000135	-6.22e-06	-.0001414	.0115105
-5.36e-07	-4.21e-06	6.09e-07	2.27e-07	2.10e-07	6.42e-08	4.43e-08	-4.18e-06	-.0000842
3.78e-08	-.0000169	2.27e-07	5.91e-07	1.90e-07	7.37e-08	5.45e-08	-2.94e-06	-.000099
-2.86e-06	5.21e-07	2.10e-07	1.90e-07	8.13e-06	1.47e-06	-9.82e-08	-3.48e-06	.0001819
2.76e-06	.0000135	6.42e-08	7.37e-08	1.47e-06	4.00e-06	-3.55e-07	-1.75e-06	.0006594
-3.91e-07	-6.22e-06	4.43e-08	5.45e-08	-9.82e-08	-3.55e-07	8.65e-08	-2.55e-06	-.0001633
.0000107	-.0001414	-4.18e-06	-2.94e-06	-3.48e-06	-1.75e-06	-2.55e-06	.0006314	.0048588
.0007317	.0115105	-.0000842	-.000099	.0001819	.0006594	-.0001633	.0048588	.3084459
								
								
								
								
								
								
								
								
								
								
								
