fe_polem3vcv1	fe_polem3vcv2	fe_polem3vcv3	fe_polem3vcv4	fe_polem3vcv5	fe_polem3vcv6	fe_polem3vcv7	fe_polem3vcv8	fe_polem3vcv9
.0000122	1.58e-06	2.05e-07	5.63e-09	-6.76e-07	3.81e-07	-6.60e-09	-5.87e-07	8.10e-06
1.58e-06	.0002309	-1.99e-06	-2.33e-06	2.89e-06	2.24e-06	-1.08e-06	-.0000215	.0019946
2.05e-07	-1.99e-06	7.32e-07	9.74e-08	-1.17e-07	-1.10e-07	3.20e-08	-1.26e-06	-.0000609
5.63e-09	-2.33e-06	9.74e-08	9.14e-08	-1.28e-08	-1.60e-08	1.27e-08	-8.80e-07	-.0000234
-6.76e-07	2.89e-06	-1.17e-07	-1.28e-08	1.57e-06	2.35e-07	-3.11e-08	-6.89e-07	.0000582
3.81e-07	2.24e-06	-1.10e-07	-1.60e-08	2.35e-07	6.25e-07	-5.81e-08	9.73e-07	.0001079
-6.60e-09	-1.08e-06	3.20e-08	1.27e-08	-3.11e-08	-5.81e-08	1.44e-08	-6.56e-07	-.0000272
-5.87e-07	-.0000215	-1.26e-06	-8.80e-07	-6.89e-07	9.73e-07	-6.56e-07	.0001345	.0012448
8.10e-06	.0019946	-.0000609	-.0000234	.0000582	.0001079	-.0000272	.0012448	.0511774
								
								
								
								
								
								
								
								
								
								
								
