fe_polemwardur0vcv1	fe_polemwardur0vcv2	fe_polemwardur0vcv3	fe_polemwardur0vcv4	fe_polemwardur0vcv5	fe_polemwardur0vcv6	fe_polemwardur0vcv7	fe_polemwardur0vcv8	fe_polemwardur0vcv9
2.37e-08	-8.00e-08	6.94e-09	9.29e-10	-3.38e-08	-5.85e-10	7.81e-10	-4.92e-08	-1.49e-06
-8.00e-08	.0000242	-4.09e-07	-2.76e-07	5.98e-07	1.66e-07	-1.04e-07	-1.61e-06	.0001917
6.94e-09	-4.09e-07	1.86e-07	7.96e-09	-3.88e-08	-1.92e-08	4.07e-09	2.56e-09	-7.68e-06
9.29e-10	-2.76e-07	7.96e-09	9.07e-09	5.60e-11	-3.06e-09	1.34e-09	-5.26e-08	-2.47e-06
-3.38e-08	5.98e-07	-3.88e-08	5.60e-11	6.39e-07	3.67e-08	-4.57e-09	-9.77e-08	8.41e-06
-5.85e-10	1.66e-07	-1.92e-08	-3.06e-09	3.67e-08	4.18e-08	-3.68e-09	5.91e-08	6.81e-06
7.81e-10	-1.04e-07	4.07e-09	1.34e-09	-4.57e-09	-3.68e-09	1.00e-09	-3.54e-08	-1.88e-06
-4.92e-08	-1.61e-06	2.56e-09	-5.26e-08	-9.77e-08	5.91e-08	-3.54e-08	7.91e-06	.0000671
-1.49e-06	.0001917	-7.68e-06	-2.47e-06	8.41e-06	6.81e-06	-1.88e-06	.0000671	.0035228
								
								
								
								
								
								
								
								
								
								
								
