fe_fertilityexist1vcv1	fe_fertilityexist1vcv2	fe_fertilityexist1vcv3	fe_fertilityexist1vcv4	fe_fertilityexist1vcv5	fe_fertilityexist1vcv6	fe_fertilityexist1vcv7	fe_fertilityexist1vcv8	fe_fertilityexist1vcv9
.0003516	-2.63e-06	-4.47e-06	-4.12e-06	-2.44e-06	.0000186	-1.09e-06	-.0000153	.0020728
-2.63e-06	.0000322	1.09e-06	8.13e-07	-6.94e-07	-7.88e-06	6.92e-07	-.0000229	-.0013557
-4.47e-06	1.09e-06	9.23e-07	5.17e-07	-1.59e-08	2.49e-07	-5.01e-08	-4.64e-07	.0000942
-4.12e-06	8.13e-07	5.17e-07	8.43e-07	2.22e-07	-1.50e-07	-1.02e-07	2.57e-07	.0001998
-2.44e-06	-6.94e-07	-1.59e-08	2.22e-07	8.15e-06	4.80e-06	-5.01e-07	7.22e-07	.0009534
.0000186	-7.88e-06	2.49e-07	-1.50e-07	4.80e-06	.0000194	-1.49e-06	4.92e-06	.0028131
-1.09e-06	6.92e-07	-5.01e-08	-1.02e-07	-5.01e-07	-1.49e-06	2.60e-07	9.64e-07	-.0005112
-.0000153	-.0000229	-4.64e-07	2.57e-07	7.22e-07	4.92e-06	9.64e-07	.0000552	-.0020802
.0020728	-.0013557	.0000942	.0001998	.0009534	.0028131	-.0005112	-.0020802	1.00543
								
								
								
								
								
								
								
								
								
								
								
