fe_polembd5vcv1	fe_polembd5vcv2	fe_polembd5vcv3	fe_polembd5vcv4	fe_polembd5vcv5	fe_polembd5vcv6	fe_polembd5vcv7	fe_polembd5vcv8	fe_polembd5vcv9
1.23e-06	-2.70e-07	-8.96e-09	1.34e-07	4.01e-07	5.66e-07	-5.06e-08	-8.09e-06	.0000973
-2.70e-07	.0007429	-1.18e-06	-4.52e-06	.0000116	7.75e-06	-4.49e-06	-.0000676	.008459
-8.96e-09	-1.18e-06	8.52e-07	1.49e-07	6.01e-08	6.45e-08	2.18e-08	-1.23e-06	-.0000427
1.34e-07	-4.52e-06	1.49e-07	2.47e-07	4.82e-08	7.17e-08	1.31e-08	-3.10e-06	-.0000234
4.01e-07	.0000116	6.01e-08	4.82e-08	4.88e-06	1.33e-06	-1.91e-07	-4.87e-07	.0003593
5.66e-07	7.75e-06	6.45e-08	7.17e-08	1.33e-06	2.41e-06	-2.67e-07	1.02e-06	.000502
-5.06e-08	-4.49e-06	2.18e-08	1.31e-08	-1.91e-07	-2.67e-07	7.62e-08	-1.30e-06	-.0001457
-8.09e-06	-.0000676	-1.23e-06	-3.10e-06	-4.87e-07	1.02e-06	-1.30e-06	.0003701	.002459
.0000973	.008459	-.0000427	-.0000234	.0003593	.000502	-.0001457	.002459	.2785549
								
								
								
								
								
								
								
								
								
								
								
