fe_interact0vcv1	fe_interact0vcv2	fe_interact0vcv3	fe_interact0vcv4	fe_interact0vcv5	fe_interact0vcv6	fe_interact0vcv7	fe_interact0vcv8	fe_interact0vcv9	fe_interact0vcv10	fe_interact0vcv11
2.77e-06	2.62e-07	-2.49e-07	-1.05e-06	9.92e-09	2.87e-08	4.43e-08	4.45e-08	8.08e-09	-9.09e-07	-.0000155
2.62e-07	2.15e-06	-2.77e-07	7.19e-07	-9.39e-09	-1.93e-08	-1.68e-07	-3.52e-09	-9.25e-10	1.37e-07	1.31e-06
-2.49e-07	-2.77e-07	4.95e-06	4.05e-07	-3.79e-08	-7.34e-09	-2.45e-07	3.02e-08	-4.79e-09	2.45e-07	8.80e-06
-1.05e-06	7.19e-07	4.05e-07	.0000248	-4.08e-07	-2.82e-07	5.33e-07	1.78e-07	-1.07e-07	-1.42e-06	.0001973
9.92e-09	-9.39e-09	-3.79e-08	-4.08e-07	1.85e-07	7.65e-09	-3.80e-08	-1.81e-08	3.99e-09	4.70e-10	-7.52e-06
2.87e-08	-1.93e-08	-7.34e-09	-2.82e-07	7.65e-09	9.22e-09	7.48e-10	-2.88e-09	1.36e-09	-5.42e-08	-2.49e-06
4.43e-08	-1.68e-07	-2.45e-07	5.33e-07	-3.80e-08	7.48e-10	6.20e-07	3.71e-08	-4.24e-09	-1.15e-07	7.81e-06
4.45e-08	-3.52e-09	3.02e-08	1.78e-07	-1.81e-08	-2.88e-09	3.71e-08	4.12e-08	-3.69e-09	5.35e-08	6.83e-06
8.08e-09	-9.25e-10	-4.79e-09	-1.07e-07	3.99e-09	1.36e-09	-4.24e-09	-3.69e-09	1.01e-09	-3.50e-08	-1.89e-06
-9.09e-07	1.37e-07	2.45e-07	-1.42e-06	4.70e-10	-5.42e-08	-1.15e-07	5.35e-08	-3.50e-08	7.82e-06	.0000663
-.0000155	1.31e-06	8.80e-06	.0001973	-7.52e-06	-2.49e-06	7.81e-06	6.83e-06	-1.89e-06	.0000663	.0035483
										
										
										
										
										
										
										
										
										
