fe_polembd1vcv1	fe_polembd1vcv2	fe_polembd1vcv3	fe_polembd1vcv4	fe_polembd1vcv5	fe_polembd1vcv6	fe_polembd1vcv7	fe_polembd1vcv8	fe_polembd1vcv9
1.86e-07	-3.62e-07	1.24e-08	1.81e-08	-2.63e-08	5.42e-09	-1.39e-09	-8.96e-07	3.06e-06
-3.62e-07	.0001363	-1.46e-06	-9.96e-07	3.98e-07	1.06e-06	-6.17e-07	-.0000162	.0011478
1.24e-08	-1.46e-06	8.77e-07	9.85e-08	-4.96e-08	-1.84e-08	6.06e-09	5.81e-08	-.0000113
1.81e-08	-9.96e-07	9.85e-08	5.16e-08	6.61e-09	-1.24e-09	3.46e-09	-3.97e-07	-6.22e-06
-2.63e-08	3.98e-07	-4.96e-08	6.61e-09	7.14e-07	1.51e-07	-1.40e-08	1.00e-07	.0000261
5.42e-09	1.06e-06	-1.84e-08	-1.24e-09	1.51e-07	2.82e-07	-3.03e-08	2.59e-07	.0000568
-1.39e-09	-6.17e-07	6.06e-09	3.46e-09	-1.40e-08	-3.03e-08	8.45e-09	-1.81e-07	-.0000161
-8.96e-07	-.0000162	5.81e-08	-3.97e-07	1.00e-07	2.59e-07	-1.81e-07	.0000588	.0003416
3.06e-06	.0011478	-.0000113	-6.22e-06	.0000261	.0000568	-.0000161	.0003416	.0305917
								
								
								
								
								
								
								
								
								
								
								
