fe_fertility15vcv1	fe_fertility15vcv2	fe_fertility15vcv3	fe_fertility15vcv4	fe_fertility15vcv5	fe_fertility15vcv6	fe_fertility15vcv7	fe_fertility15vcv8	fe_fertility15vcv9
.0047289	-.0005658	-.0000118	7.05e-06	.0001658	-.0000628	.0000256	.0009544	-.0521805
-.0005658	.0018317	-.0000186	-.000012	-.0001594	-.0003241	.0000685	-.0014344	-.1353093
-.0000118	-.0000186	.000013	.0000133	6.30e-06	.000023	-8.41e-06	-.000011	.0166182
7.05e-06	-.000012	.0000133	.0000294	5.96e-06	.0000107	-9.26e-06	-7.47e-06	.0183509
.0001658	-.0001594	6.30e-06	5.96e-06	.0003025	.0002941	-.0000363	.0000567	.069911
-.0000628	-.0003241	.000023	.0000107	.0002941	.0007619	-.0000841	.0000582	.1613839
.0000256	.0000685	-8.41e-06	-9.26e-06	-.0000363	-.0000841	.0000253	.0000779	-.0500349
.0009544	-.0014344	-.000011	-7.47e-06	.0000567	.0000582	.0000779	.0030617	-.1613085
-.0521805	-.1353093	.0166182	.0183509	.069911	.1613839	-.0500349	-.1613085	99.11649
								
								
								
								
								
								
								
								
								
								
								
