fe_fertilityexist3vcv1	fe_fertilityexist3vcv2	fe_fertilityexist3vcv3	fe_fertilityexist3vcv4	fe_fertilityexist3vcv5	fe_fertilityexist3vcv6	fe_fertilityexist3vcv7	fe_fertilityexist3vcv8	fe_fertilityexist3vcv9
.0014366	-.0000408	-.0000208	-.0000142	2.63e-06	.0000862	-4.38e-06	-.0000319	.0082289
-.0000408	.0001317	3.22e-06	2.53e-06	-1.27e-06	-.0000324	3.12e-06	-.0000898	-.0061279
-.0000208	3.22e-06	3.10e-06	1.89e-06	8.22e-07	1.53e-06	-3.18e-07	-1.89e-06	.0006118
-.0000142	2.53e-06	1.89e-06	3.19e-06	1.05e-06	4.78e-08	-5.59e-07	3.38e-07	.0010977
2.63e-06	-1.27e-06	8.22e-07	1.05e-06	.0000527	.0000376	-3.32e-06	-4.20e-06	.0062953
.0000862	-.0000324	1.53e-06	4.78e-08	.0000376	.0000977	-7.36e-06	.0000173	.0138285
-4.38e-06	3.12e-06	-3.18e-07	-5.59e-07	-3.32e-06	-7.36e-06	1.24e-06	4.35e-06	-.0024261
-.0000319	-.0000898	-1.89e-06	3.38e-07	-4.20e-06	.0000173	4.35e-06	.0002179	-.0092846
.0082289	-.0061279	.0006118	.0010977	.0062953	.0138285	-.0024261	-.0092846	4.763227
								
								
								
								
								
								
								
								
								
								
								
