fe_fertility10vcv1	fe_fertility10vcv2	fe_fertility10vcv3	fe_fertility10vcv4	fe_fertility10vcv5	fe_fertility10vcv6	fe_fertility10vcv7	fe_fertility10vcv8	fe_fertility10vcv9
.0026924	-.0003083	-.0000129	-.000011	.0001014	.0000986	1.78e-06	.0004391	-.0051041
-.0003083	.0010499	3.04e-06	3.43e-06	-.000069	-.000232	.0000349	-.0007165	-.0690743
-.0000129	3.04e-06	.0000105	8.00e-06	3.12e-06	.0000144	-4.45e-06	-.0000133	.0087524
-.000011	3.43e-06	8.00e-06	.0000183	5.15e-06	7.36e-06	-6.06e-06	-9.94e-06	.0119778
.0001014	-.000069	3.12e-06	5.15e-06	.0002652	.000247	-.0000272	-.0000211	.0521113
.0000986	-.000232	.0000144	7.36e-06	.000247	.0006133	-.0000575	.0000542	.1096536
1.78e-06	.0000349	-4.45e-06	-6.06e-06	-.0000272	-.0000575	.0000132	.000041	-.0259635
.0004391	-.0007165	-.0000133	-9.94e-06	-.0000211	.0000542	.000041	.0015716	-.0852059
-.0051041	-.0690743	.0087524	.0119778	.0521113	.1096536	-.0259635	-.0852059	51.23368
								
								
								
								
								
								
								
								
								
								
								
