fe_fertilityexist2vcv1	fe_fertilityexist2vcv2	fe_fertilityexist2vcv3	fe_fertilityexist2vcv4	fe_fertilityexist2vcv5	fe_fertilityexist2vcv6	fe_fertilityexist2vcv7	fe_fertilityexist2vcv8	fe_fertilityexist2vcv9
.0007831	-.0000139	-.0000108	-8.56e-06	-1.33e-06	.0000456	-2.40e-06	-.0000279	.0045323
-.0000139	.0000728	2.17e-06	1.54e-06	-2.36e-07	-.000018	1.65e-06	-.0000501	-.0032501
-.0000108	2.17e-06	1.88e-06	1.11e-06	3.33e-08	6.95e-07	-1.39e-07	-1.04e-06	.0002639
-8.56e-06	1.54e-06	1.11e-06	1.84e-06	4.90e-07	-1.13e-07	-2.74e-07	4.50e-07	.000536
-1.33e-06	-2.36e-07	3.33e-08	4.90e-07	.0000182	.0000137	-1.36e-06	6.50e-07	.0025773
.0000456	-.000018	6.95e-07	-1.13e-07	.0000137	.0000521	-3.88e-06	.000011	.0072873
-2.40e-06	1.65e-06	-1.39e-07	-2.74e-07	-1.36e-06	-3.88e-06	6.38e-07	2.20e-06	-.0012506
-.0000279	-.0000501	-1.04e-06	4.50e-07	6.50e-07	.000011	2.20e-06	.0001212	-.0047401
.0045323	-.0032501	.0002639	.000536	.0025773	.0072873	-.0012506	-.0047401	2.454283
								
								
								
								
								
								
								
								
								
								
								
