fe_polembd0vcv1	fe_polembd0vcv2	fe_polembd0vcv3	fe_polembd0vcv4	fe_polembd0vcv5	fe_polembd0vcv6	fe_polembd0vcv7	fe_polembd0vcv8	fe_polembd0vcv9
7.17e-08	1.17e-07	1.82e-10	1.32e-09	-3.14e-08	-3.15e-09	-8.07e-10	-2.77e-07	1.60e-06
1.17e-07	.0000543	-6.00e-07	-4.46e-07	2.92e-07	3.05e-07	-2.13e-07	-6.64e-06	.0003931
1.82e-10	-6.00e-07	3.51e-07	2.74e-08	-4.21e-08	-8.84e-09	-8.13e-10	1.50e-07	1.90e-06
1.32e-09	-4.46e-07	2.74e-08	1.87e-08	4.58e-09	-1.25e-09	1.18e-09	-7.90e-08	-2.08e-06
-3.14e-08	2.92e-07	-4.21e-08	4.58e-09	4.66e-07	6.28e-08	-4.45e-09	-1.11e-07	8.17e-06
-3.15e-09	3.05e-07	-8.84e-09	-1.25e-09	6.28e-08	8.74e-08	-9.94e-09	1.34e-07	.0000187
-8.07e-10	-2.13e-07	-8.13e-10	1.18e-09	-4.45e-09	-9.94e-09	2.69e-09	-5.24e-08	-5.11e-06
-2.77e-07	-6.64e-06	1.50e-07	-7.90e-08	-1.11e-07	1.34e-07	-5.24e-08	.000017	.0000995
1.60e-06	.0003931	1.90e-06	-2.08e-06	8.17e-06	.0000187	-5.11e-06	.0000995	.0097025
								
								
								
								
								
								
								
								
								
								
								
