fe_polem1vcv1	fe_polem1vcv2	fe_polem1vcv3	fe_polem1vcv4	fe_polem1vcv5	fe_polem1vcv6	fe_polem1vcv7	fe_polem1vcv8	fe_polem1vcv9
4.08e-06	2.03e-07	2.80e-08	-1.25e-08	-4.48e-07	3.72e-09	2.43e-09	5.81e-07	-5.52e-06
2.03e-07	.0000715	-1.16e-06	-7.47e-07	8.73e-07	7.05e-07	-3.19e-07	-6.02e-06	.0005894
2.80e-08	-1.16e-06	5.53e-07	4.93e-08	-5.78e-08	-4.57e-08	1.24e-08	-3.74e-07	-.0000234
-1.25e-08	-7.47e-07	4.93e-08	2.78e-08	-4.95e-10	-8.23e-09	3.92e-09	-2.40e-07	-7.23e-06
-4.48e-07	8.73e-07	-5.78e-08	-4.95e-10	7.28e-07	7.78e-08	-8.04e-09	-7.01e-08	.0000148
3.72e-09	7.05e-07	-4.57e-08	-8.23e-09	7.78e-08	1.47e-07	-1.39e-08	2.26e-07	.0000258
2.43e-09	-3.19e-07	1.24e-08	3.92e-09	-8.04e-09	-1.39e-08	3.52e-09	-1.46e-07	-6.61e-06
5.81e-07	-6.02e-06	-3.74e-07	-2.40e-07	-7.01e-08	2.26e-07	-1.46e-07	.0000333	.0002762
-5.52e-06	.0005894	-.0000234	-7.23e-06	.0000148	.0000258	-6.61e-06	.0002762	.0124288
								
								
								
								
								
								
								
								
								
								
								
