fe_polem15vcv1	fe_polem15vcv2	fe_polem15vcv3	fe_polem15vcv4	fe_polem15vcv5	fe_polem15vcv6	fe_polem15vcv7	fe_polem15vcv8	fe_polem15vcv9
.0000817	.0000938	-1.33e-06	-1.38e-06	-3.91e-06	6.73e-06	-1.14e-06	7.83e-06	.0021371
.0000938	.0020972	-6.94e-06	-.0000215	1.42e-06	.0000375	-8.45e-06	-.000563	.0155105
-1.33e-06	-6.94e-06	6.97e-07	3.81e-07	3.66e-07	2.04e-07	5.41e-08	-5.06e-06	-.000103
-1.38e-06	-.0000215	3.81e-07	8.43e-07	3.82e-07	-3.34e-07	5.88e-08	-1.31e-07	-.0001031
-3.91e-06	1.42e-06	3.66e-07	3.82e-07	.0000121	1.77e-06	-1.41e-07	-.0000136	.0002671
6.73e-06	.0000375	2.04e-07	-3.34e-07	1.77e-06	7.77e-06	-7.29e-07	-8.47e-06	.0013554
-1.14e-06	-8.45e-06	5.41e-08	5.88e-08	-1.41e-07	-7.29e-07	1.43e-07	-2.32e-06	-.0002697
7.83e-06	-.000563	-5.06e-06	-1.31e-07	-.0000136	-8.47e-06	-2.32e-06	.0011598	.0044865
.0021371	.0155105	-.000103	-.0001031	.0002671	.0013554	-.0002697	.0044865	.5097161
								
								
								
								
								
								
								
								
								
								
								
