fe_fertilityexist4vcv1	fe_fertilityexist4vcv2	fe_fertilityexist4vcv3	fe_fertilityexist4vcv4	fe_fertilityexist4vcv5	fe_fertilityexist4vcv6	fe_fertilityexist4vcv7	fe_fertilityexist4vcv8	fe_fertilityexist4vcv9
.0022338	-.0000996	-.0000325	-.000018	.0000136	.0001424	-7.29e-06	-.0000179	.0136992
-.0000996	.0002104	4.04e-06	3.62e-06	-2.54e-06	-.0000514	5.28e-06	-.0001411	-.0104064
-.0000325	4.04e-06	4.78e-06	2.85e-06	1.44e-06	2.46e-06	-5.98e-07	-3.11e-06	.0011605
-.000018	3.62e-06	2.85e-06	4.76e-06	1.68e-06	4.02e-07	-9.77e-07	-2.18e-07	.0019199
.0000136	-2.54e-06	1.44e-06	1.68e-06	.0000798	.0000603	-5.47e-06	-8.30e-06	.0103691
.0001424	-.0000514	2.46e-06	4.02e-07	.0000603	.0001547	-.000012	.0000239	.0225952
-7.29e-06	5.28e-06	-5.98e-07	-9.77e-07	-5.47e-06	-.000012	2.11e-06	7.40e-06	-.0041335
-.0000179	-.0001411	-3.11e-06	-2.18e-07	-8.30e-06	.0000239	7.40e-06	.0003415	-.0156707
.0136992	-.0104064	.0011605	.0019199	.0103691	.0225952	-.0041335	-.0156707	8.122332
								
								
								
								
								
								
								
								
								
								
								
