fe_fertility0vcv1	fe_fertility0vcv2	fe_fertility0vcv3	fe_fertility0vcv4	fe_fertility0vcv5	fe_fertility0vcv6	fe_fertility0vcv7	fe_fertility0vcv8	fe_fertility0vcv9
.0000276	-1.85e-06	-5.62e-08	-2.53e-07	4.14e-07	1.84e-06	-9.45e-08	2.42e-06	.0001673
-1.85e-06	8.09e-06	1.20e-07	1.78e-07	-2.30e-07	-1.92e-06	1.68e-07	-5.72e-06	-.0003296
-5.62e-08	1.20e-07	2.99e-07	1.58e-07	2.33e-08	6.84e-08	-1.50e-08	-3.44e-08	.0000286
-2.53e-07	1.78e-07	1.58e-07	2.18e-07	5.29e-08	-5.33e-08	-2.31e-08	7.36e-08	.0000452
4.14e-07	-2.30e-07	2.33e-08	5.29e-08	2.07e-06	1.07e-06	-1.15e-07	1.44e-07	.0002196
1.84e-06	-1.92e-06	6.84e-08	-5.33e-08	1.07e-06	4.53e-06	-3.51e-07	1.20e-06	.0006617
-9.45e-08	1.68e-07	-1.50e-08	-2.31e-08	-1.15e-07	-3.51e-07	6.20e-08	2.33e-07	-.0001217
2.42e-06	-5.72e-06	-3.44e-08	7.36e-08	1.44e-07	1.20e-06	2.33e-07	.0000136	-.0005027
.0001673	-.0003296	.0000286	.0000452	.0002196	.0006617	-.0001217	-.0005027	.2394598
								
								
								
								
								
								
								
								
								
								
								
