fe_interact1vcv1	fe_interact1vcv2	fe_interact1vcv3	fe_interact1vcv4	fe_interact1vcv5	fe_interact1vcv6	fe_interact1vcv7	fe_interact1vcv8	fe_interact1vcv9	fe_interact1vcv10	fe_interact1vcv11
7.35e-06	1.94e-06	2.01e-06	-3.63e-07	9.97e-08	-2.51e-08	-4.49e-07	8.55e-08	-5.62e-09	1.50e-06	9.63e-06
1.94e-06	5.68e-06	1.93e-06	2.11e-07	-1.28e-09	-4.04e-09	-5.38e-07	-3.05e-08	7.56e-09	1.57e-07	-.0000153
2.01e-06	1.93e-06	.0000111	-1.12e-07	-7.49e-08	4.94e-09	-5.54e-07	1.34e-07	-1.20e-08	1.13e-06	.0000217
-3.63e-07	2.11e-07	-1.12e-07	.0000711	-1.21e-06	-7.46e-07	7.94e-07	6.79e-07	-3.16e-07	-6.46e-06	.0005844
9.97e-08	-1.28e-09	-7.49e-08	-1.21e-06	5.48e-07	4.91e-08	-5.52e-08	-4.52e-08	1.24e-08	-3.36e-07	-.0000235
-2.51e-08	-4.04e-09	4.94e-09	-7.46e-07	4.91e-08	2.77e-08	1.31e-10	-8.30e-09	3.93e-09	-2.33e-07	-7.24e-06
-4.49e-07	-5.38e-07	-5.54e-07	7.94e-07	-5.52e-08	1.31e-10	7.26e-07	8.13e-08	-8.37e-09	-3.99e-08	.0000155
8.55e-08	-3.05e-08	1.34e-07	6.79e-07	-4.52e-08	-8.30e-09	8.13e-08	1.49e-07	-1.38e-08	2.20e-07	.0000256
-5.62e-09	7.56e-09	-1.20e-08	-3.16e-07	1.24e-08	3.93e-09	-8.37e-09	-1.38e-08	3.50e-09	-1.42e-07	-6.57e-06
1.50e-06	1.57e-07	1.13e-06	-6.46e-06	-3.36e-07	-2.33e-07	-3.99e-08	2.20e-07	-1.42e-07	.0000329	.0002695
9.63e-06	-.0000153	.0000217	.0005844	-.0000235	-7.24e-06	.0000155	.0000256	-6.57e-06	.0002695	.0123437
										
										
										
										
										
										
										
										
										
