fe_polem4vcv1	fe_polem4vcv2	fe_polem4vcv3	fe_polem4vcv4	fe_polem4vcv5	fe_polem4vcv6	fe_polem4vcv7	fe_polem4vcv8	fe_polem4vcv9
.0000186	2.87e-06	3.86e-07	1.80e-08	-5.07e-07	5.71e-07	3.42e-09	-4.23e-06	-.0000131
2.87e-06	.0003463	-2.23e-06	-3.45e-06	4.15e-06	3.18e-06	-1.56e-06	-.0000331	.0028816
3.86e-07	-2.23e-06	8.35e-07	1.13e-07	-1.30e-07	-1.42e-07	4.14e-08	-1.66e-06	-.0000788
1.80e-08	-3.45e-06	1.13e-07	1.32e-07	-3.31e-08	-1.31e-08	1.67e-08	-1.15e-06	-.0000308
-5.07e-07	4.15e-06	-1.30e-07	-3.31e-08	2.18e-06	4.35e-07	-5.76e-08	1.84e-07	.0001078
5.71e-07	3.18e-06	-1.42e-07	-1.31e-08	4.35e-07	9.52e-07	-8.86e-08	1.46e-06	.0001645
3.42e-09	-1.56e-06	4.14e-08	1.67e-08	-5.76e-08	-8.86e-08	2.18e-08	-9.81e-07	-.000041
-4.23e-06	-.0000331	-1.66e-06	-1.15e-06	1.84e-07	1.46e-06	-9.81e-07	.0001948	.0018641
-.0000131	.0028816	-.0000788	-.0000308	.0001078	.0001645	-.000041	.0018641	.0772775
								
								
								
								
								
								
								
								
								
								
								
