fe_polemintermed3vcv1	fe_polemintermed3vcv2	fe_polemintermed3vcv3	fe_polemintermed3vcv4	fe_polemintermed3vcv5	fe_polemintermed3vcv6	fe_polemintermed3vcv7	fe_polemintermed3vcv8	fe_polemintermed3vcv9	fe_polemintermed3vcv10	fe_polemintermed3vcv11	fe_polemintermed3vcv12	fe_polemintermed3vcv13	fe_polemintermed3vcv14
.0000118	-1.76e-06	-4.49e-06	-2.57e-06	8.82e-08	4.58e-08	5.12e-07	9.17e-08	4.44e-09	-9.19e-07	-1.81e-07	-2.60e-08	-2.02e-06	.0000128
-1.76e-06	.0002376	-.000016	-1.32e-08	-3.17e-07	-5.51e-08	1.59e-07	-2.51e-06	-2.50e-06	3.31e-06	2.78e-06	-1.04e-06	-.000022	.0019606
-4.49e-06	-.000016	.0000198	.000013	9.54e-08	-3.82e-08	1.24e-06	-7.63e-07	1.61e-07	5.29e-07	4.93e-07	1.97e-08	.000012	-.0000107
-2.57e-06	-1.32e-08	.000013	.0000338	-2.73e-07	-9.48e-08	5.17e-06	3.76e-07	2.91e-07	2.74e-07	4.23e-07	1.07e-07	6.58e-06	-.0001471
8.82e-08	-3.17e-07	9.54e-08	-2.73e-07	6.14e-08	2.39e-09	2.95e-08	4.27e-09	4.60e-09	-8.79e-09	1.34e-08	-3.16e-09	-1.20e-08	4.11e-06
4.58e-08	-5.51e-08	-3.82e-08	-9.48e-08	2.39e-09	4.21e-09	-5.75e-08	-7.31e-09	-1.76e-09	-2.91e-08	-4.16e-08	-5.16e-09	2.05e-07	6.68e-06
5.12e-07	1.59e-07	1.24e-06	5.17e-06	2.95e-08	-5.75e-08	.0000225	8.04e-07	5.80e-08	-1.25e-08	6.98e-07	1.23e-07	-4.79e-06	-.0001984
9.17e-08	-2.51e-06	-7.63e-07	3.76e-07	4.27e-09	-7.31e-09	8.04e-07	7.55e-07	1.19e-07	-5.59e-08	-3.53e-08	4.27e-08	-1.36e-06	-.0000759
4.44e-09	-2.50e-06	1.61e-07	2.91e-07	4.60e-09	-1.76e-09	5.80e-08	1.19e-07	1.01e-07	-6.27e-09	-1.53e-08	1.77e-08	-1.04e-06	-.0000317
-9.19e-07	3.31e-06	5.29e-07	2.74e-07	-8.79e-09	-2.91e-08	-1.25e-08	-5.59e-08	-6.27e-09	1.60e-06	4.39e-07	1.10e-08	-2.60e-06	3.96e-07
-1.81e-07	2.78e-06	4.93e-07	4.23e-07	1.34e-08	-4.16e-08	6.98e-07	-3.53e-08	-1.53e-08	4.39e-07	1.01e-06	-3.62e-09	-1.39e-06	.0000355
-2.60e-08	-1.04e-06	1.97e-08	1.07e-07	-3.16e-09	-5.16e-09	1.23e-07	4.27e-08	1.77e-08	1.10e-08	-3.62e-09	2.02e-08	-8.60e-07	-.0000344
-2.02e-06	-.000022	.000012	6.58e-06	-1.20e-08	2.05e-07	-4.79e-06	-1.36e-06	-1.04e-06	-2.60e-06	-1.39e-06	-8.60e-07	.0001353	.0014768
.0000128	.0019606	-.0000107	-.0001471	4.11e-06	6.68e-06	-.0001984	-.0000759	-.0000317	3.96e-07	.0000355	-.0000344	.0014768	.059892
													
													
													
													
													
													
