fe_polemwardur10vcv1	fe_polemwardur10vcv2	fe_polemwardur10vcv3	fe_polemwardur10vcv4	fe_polemwardur10vcv5	fe_polemwardur10vcv6	fe_polemwardur10vcv7	fe_polemwardur10vcv8	fe_polemwardur10vcv9
1.32e-06	3.20e-06	-1.63e-08	-6.18e-08	-7.33e-07	4.81e-07	-4.46e-08	-7.24e-07	.000082
3.20e-06	.0014138	-3.77e-06	-.0000171	1.93e-06	.0000133	-6.20e-06	-.0001484	.0114573
-1.63e-08	-3.77e-06	6.18e-07	2.21e-07	2.35e-07	5.56e-08	4.31e-08	-4.18e-06	-.0000821
-6.18e-08	-.0000171	2.21e-07	5.88e-07	1.46e-07	8.46e-08	5.32e-08	-2.84e-06	-.0000964
-7.33e-07	1.93e-06	2.35e-07	1.46e-07	8.24e-06	1.39e-06	-9.37e-08	-3.46e-06	.000173
4.81e-07	.0000133	5.56e-08	8.46e-08	1.39e-06	3.99e-06	-3.56e-07	-1.91e-06	.0006616
-4.46e-08	-6.20e-06	4.31e-08	5.32e-08	-9.37e-08	-3.56e-07	8.65e-08	-2.52e-06	-.0001633
-7.24e-07	-.0001484	-4.18e-06	-2.84e-06	-3.46e-06	-1.91e-06	-2.52e-06	.0006335	.0048061
.000082	.0114573	-.0000821	-.0000964	.000173	.0006616	-.0001633	.0048061	.3085121
								
								
								
								
								
								
								
								
								
								
								
