fe_interact15vcv1	fe_interact15vcv2	fe_interact15vcv3	fe_interact15vcv4	fe_interact15vcv5	fe_interact15vcv6	fe_interact15vcv7	fe_interact15vcv8	fe_interact15vcv9	fe_interact15vcv10	fe_interact15vcv11
.0000753	.0000574	.0000603	.0000464	-1.26e-06	1.75e-07	-1.12e-07	5.23e-06	-9.87e-07	.0000303	.0018562
.0000574	.0001201	.0000535	.0001312	-1.50e-06	-2.19e-06	-6.72e-06	7.33e-06	-1.32e-06	-2.25e-06	.0024531
.0000603	.0000535	.0000645	.000053	-1.45e-06	-3.21e-09	-2.71e-06	3.23e-06	-9.09e-07	6.93e-06	.0017242
.0000464	.0001312	.000053	.0021205	-7.13e-06	-.0000219	-5.08e-07	.0000374	-8.56e-06	-.0005678	.0157152
-1.26e-06	-1.50e-06	-1.45e-06	-7.13e-06	6.93e-07	3.85e-07	3.72e-07	2.10e-07	5.33e-08	-4.99e-06	-.0001013
1.75e-07	-2.19e-06	-3.21e-09	-.0000219	3.85e-07	8.46e-07	4.22e-07	-3.33e-07	6.10e-08	-3.01e-08	-.0001073
-1.12e-07	-6.72e-06	-2.71e-06	-5.08e-07	3.72e-07	4.22e-07	.0000122	1.75e-06	-1.34e-07	-.0000131	.000254
5.23e-06	7.33e-06	3.23e-06	.0000374	2.10e-07	-3.33e-07	1.75e-06	7.74e-06	-7.26e-07	-8.43e-06	.0013481
-9.87e-07	-1.32e-06	-9.09e-07	-8.56e-06	5.33e-08	6.10e-08	-1.34e-07	-7.26e-07	1.43e-07	-2.31e-06	-.0002694
.0000303	-2.25e-06	6.93e-06	-.0005678	-4.99e-06	-3.01e-08	-.0000131	-8.43e-06	-2.31e-06	.0011601	.0044504
.0018562	.0024531	.0017242	.0157152	-.0001013	-.0001073	.000254	.0013481	-.0002694	.0044504	.5090689
										
										
										
										
										
										
										
										
										
