fe_polembd4vcv1	fe_polembd4vcv2	fe_polembd4vcv3	fe_polembd4vcv4	fe_polembd4vcv5	fe_polembd4vcv6	fe_polembd4vcv7	fe_polembd4vcv8	fe_polembd4vcv9
8.34e-07	-5.00e-07	-5.45e-09	8.54e-08	1.38e-07	3.47e-07	-2.42e-08	-6.04e-06	.0000467
-5.00e-07	.0005493	-1.81e-06	-3.45e-06	9.60e-06	6.14e-06	-3.19e-06	-.0000459	.0059908
-5.45e-09	-1.81e-06	9.35e-07	1.62e-07	9.07e-08	2.81e-09	2.88e-08	-1.04e-06	-.0000559
8.54e-08	-3.45e-06	1.62e-07	1.87e-07	-2.74e-08	3.04e-08	1.20e-08	-2.38e-06	-.0000216
1.38e-07	9.60e-06	9.07e-08	-2.74e-08	2.54e-06	8.32e-07	-1.20e-07	1.78e-07	.0002255
3.47e-07	6.14e-06	2.81e-09	3.04e-08	8.32e-07	1.71e-06	-1.88e-07	9.28e-07	.0003525
-2.42e-08	-3.19e-06	2.88e-08	1.20e-08	-1.20e-07	-1.88e-07	5.23e-08	-1.00e-06	-.0000998
-6.04e-06	-.0000459	-1.04e-06	-2.38e-06	1.78e-07	9.28e-07	-1.00e-06	.0002765	.0018905
.0000467	.0059908	-.0000559	-.0000216	.0002255	.0003525	-.0000998	.0018905	.1905109
								
								
								
								
								
								
								
								
								
								
								
