fe_polemintermed2vcv1	fe_polemintermed2vcv2	fe_polemintermed2vcv3	fe_polemintermed2vcv4	fe_polemintermed2vcv5	fe_polemintermed2vcv6	fe_polemintermed2vcv7	fe_polemintermed2vcv8	fe_polemintermed2vcv9	fe_polemintermed2vcv10	fe_polemintermed2vcv11	fe_polemintermed2vcv12	fe_polemintermed2vcv13	fe_polemintermed2vcv14
8.14e-06	-1.82e-06	-3.01e-06	-1.97e-06	1.06e-08	3.66e-08	1.08e-06	1.84e-07	-1.76e-08	-7.23e-07	-2.54e-07	-1.92e-08	3.16e-07	7.59e-06
-1.82e-06	.0001411	-.0000124	-9.59e-07	-1.55e-07	-4.65e-08	-3.06e-06	-2.26e-06	-1.55e-06	1.67e-06	1.82e-06	-6.03e-07	-.0000119	.0011512
-3.01e-06	-.0000124	.0000163	5.52e-06	2.63e-07	-2.00e-08	-2.02e-07	-6.90e-07	1.37e-07	1.79e-07	3.18e-07	1.25e-08	7.38e-06	-8.48e-06
-1.97e-06	-9.59e-07	5.52e-06	.0000191	-9.72e-08	-4.81e-08	3.43e-06	3.09e-07	1.78e-07	7.99e-08	1.53e-07	6.11e-08	3.38e-06	-.0000876
1.06e-08	-1.55e-07	2.63e-07	-9.72e-08	3.82e-08	1.12e-10	1.40e-07	-1.75e-09	2.47e-09	-5.55e-10	1.64e-08	4.63e-10	-1.47e-07	-1.04e-06
3.66e-08	-4.65e-08	-2.00e-08	-4.81e-08	1.12e-10	2.31e-09	-2.75e-08	-4.83e-09	-7.18e-10	-1.92e-08	-2.25e-08	-2.80e-09	1.12e-07	3.60e-06
1.08e-06	-3.06e-06	-2.02e-07	3.43e-06	1.40e-07	-2.75e-08	.0000227	4.62e-07	5.78e-08	-3.57e-07	3.47e-07	8.47e-08	-2.89e-06	-.0001449
1.84e-07	-2.26e-06	-6.90e-07	3.09e-07	-1.75e-09	-4.83e-09	4.62e-07	7.65e-07	8.65e-08	-4.15e-08	-2.67e-08	2.98e-08	-6.25e-07	-.000053
-1.76e-08	-1.55e-06	1.37e-07	1.78e-07	2.47e-09	-7.18e-10	5.78e-08	8.65e-08	6.03e-08	2.19e-08	-1.25e-08	1.01e-08	-5.67e-07	-.0000183
-7.23e-07	1.67e-06	1.79e-07	7.99e-08	-5.55e-10	-1.92e-08	-3.57e-07	-4.15e-08	2.19e-08	1.15e-06	2.85e-07	8.95e-09	-1.67e-06	-2.81e-06
-2.54e-07	1.82e-06	3.18e-07	1.53e-07	1.64e-08	-2.25e-08	3.47e-07	-2.67e-08	-1.25e-08	2.85e-07	5.51e-07	-2.95e-09	-7.61e-07	.000021
-1.92e-08	-6.03e-07	1.25e-08	6.11e-08	4.63e-10	-2.80e-09	8.47e-08	2.98e-08	1.01e-08	8.95e-09	-2.95e-09	1.12e-08	-4.66e-07	-.0000191
3.16e-07	-.0000119	7.38e-06	3.38e-06	-1.47e-07	1.12e-07	-2.89e-06	-6.25e-07	-5.67e-07	-1.67e-06	-7.61e-07	-4.66e-07	.0000744	.0007996
7.59e-06	.0011512	-8.48e-06	-.0000876	-1.04e-06	3.60e-06	-.0001449	-.000053	-.0000183	-2.81e-06	.000021	-.0000191	.0007996	.0333333
													
													
													
													
													
													
