fe_polemwardur4vcv1	fe_polemwardur4vcv2	fe_polemwardur4vcv3	fe_polemwardur4vcv4	fe_polemwardur4vcv5	fe_polemwardur4vcv6	fe_polemwardur4vcv7	fe_polemwardur4vcv8	fe_polemwardur4vcv9
4.20e-07	1.61e-07	3.89e-08	1.60e-08	-1.22e-07	1.35e-07	-3.06e-10	-1.30e-06	-2.82e-07
1.61e-07	.0003475	-2.33e-06	-3.42e-06	4.63e-06	3.23e-06	-1.58e-06	-.0000333	.0029279
3.89e-08	-2.33e-06	8.36e-07	1.15e-07	-1.41e-07	-1.49e-07	4.22e-08	-1.68e-06	-.0000802
1.60e-08	-3.42e-06	1.15e-07	1.28e-07	-4.58e-08	-1.18e-08	1.66e-08	-1.10e-06	-.0000307
-1.22e-07	4.63e-06	-1.41e-07	-4.58e-08	2.20e-06	3.98e-07	-5.93e-08	5.60e-07	.000111
1.35e-07	3.23e-06	-1.49e-07	-1.18e-08	3.98e-07	9.30e-07	-8.74e-08	1.39e-06	.0001624
-3.06e-10	-1.58e-06	4.22e-08	1.66e-08	-5.93e-08	-8.74e-08	2.18e-08	-9.72e-07	-.0000411
-1.30e-06	-.0000333	-1.68e-06	-1.10e-06	5.60e-07	1.39e-06	-9.72e-07	.0001933	.0018462
-2.82e-07	.0029279	-.0000802	-.0000307	.000111	.0001624	-.0000411	.0018462	.0774985
								
								
								
								
								
								
								
								
								
								
								
