fe_fertilityexist5vcv1	fe_fertilityexist5vcv2	fe_fertilityexist5vcv3	fe_fertilityexist5vcv4	fe_fertilityexist5vcv5	fe_fertilityexist5vcv6	fe_fertilityexist5vcv7	fe_fertilityexist5vcv8	fe_fertilityexist5vcv9
.0034423	-.0001869	-.0000357	-.0000213	.0000356	.0002107	-.0000102	.0000193	.0191565
-.0001869	.0003096	4.90e-06	4.80e-06	-3.03e-06	-.0000754	8.31e-06	-.0002054	-.0163877
-.0000357	4.90e-06	5.81e-06	3.56e-06	1.54e-06	4.20e-06	-9.30e-07	-4.07e-06	.0018047
-.0000213	4.80e-06	3.56e-06	6.56e-06	2.29e-06	9.86e-07	-1.53e-06	-1.34e-06	.0030158
.0000356	-3.03e-06	1.54e-06	2.29e-06	.000112	.0000882	-8.32e-06	-.0000154	.015824
.0002107	-.0000754	4.20e-06	9.86e-07	.0000882	.0002225	-.0000178	.0000307	.0336069
-.0000102	8.31e-06	-9.30e-07	-1.53e-06	-8.32e-06	-.0000178	3.27e-06	.0000114	-.0064292
.0000193	-.0002054	-4.07e-06	-1.34e-06	-.0000154	.0000307	.0000114	.0004939	-.0239951
.0191565	-.0163877	.0018047	.0030158	.015824	.0336069	-.0064292	-.0239951	12.64504
								
								
								
								
								
								
								
								
								
								
								
