fe_fertility1vcv1	fe_fertility1vcv2	fe_fertility1vcv3	fe_fertility1vcv4	fe_fertility1vcv5	fe_fertility1vcv6	fe_fertility1vcv7	fe_fertility1vcv8	fe_fertility1vcv9
.000105	-6.43e-06	2.96e-07	-9.55e-07	2.42e-06	7.31e-06	-3.03e-07	9.34e-06	.000519
-6.43e-06	.0000327	9.40e-07	6.93e-07	-6.32e-07	-7.65e-06	6.93e-07	-.000023	-.0013611
2.96e-07	9.40e-07	9.53e-07	5.25e-07	-1.74e-08	2.61e-07	-5.53e-08	-4.40e-07	.0001049
-9.55e-07	6.93e-07	5.25e-07	8.43e-07	1.56e-07	-1.72e-07	-1.06e-07	1.98e-07	.0002071
2.42e-06	-6.32e-07	-1.74e-08	1.56e-07	7.81e-06	4.69e-06	-4.90e-07	3.42e-07	.0009326
7.31e-06	-7.65e-06	2.61e-07	-1.72e-07	4.69e-06	.0000196	-1.51e-06	4.57e-06	.0028427
-3.03e-07	6.93e-07	-5.53e-08	-1.06e-07	-4.90e-07	-1.51e-06	2.64e-07	9.83e-07	-.0005186
9.34e-06	-.000023	-4.40e-07	1.98e-07	3.42e-07	4.57e-06	9.83e-07	.0000542	-.0021104
.000519	-.0013611	.0001049	.0002071	.0009326	.0028427	-.0005186	-.0021104	1.019962
								
								
								
								
								
								
								
								
								
								
								
