fe_polem0vcv1	fe_polem0vcv2	fe_polem0vcv3	fe_polem0vcv4	fe_polem0vcv5	fe_polem0vcv6	fe_polem0vcv7	fe_polem0vcv8	fe_polem0vcv9
1.49e-06	2.72e-07	-2.99e-09	-6.03e-09	-7.77e-08	1.14e-08	1.46e-09	-1.58e-07	-3.19e-06
2.72e-07	.0000245	-3.97e-07	-2.72e-07	6.18e-07	1.93e-07	-1.06e-07	-1.39e-06	.0001957
-2.99e-09	-3.97e-07	1.85e-07	7.68e-09	-3.92e-08	-1.84e-08	3.98e-09	-7.20e-09	-7.51e-06
-6.03e-09	-2.72e-07	7.68e-09	9.08e-09	-8.72e-10	-3.11e-09	1.33e-09	-5.71e-08	-2.44e-06
-7.77e-08	6.18e-07	-3.92e-08	-8.72e-10	6.15e-07	3.59e-08	-4.46e-09	-1.02e-07	8.20e-06
1.14e-08	1.93e-07	-1.84e-08	-3.11e-09	3.59e-08	4.13e-08	-3.82e-09	6.21e-08	7.07e-06
1.46e-09	-1.06e-07	3.98e-09	1.33e-09	-4.46e-09	-3.82e-09	1.02e-09	-3.65e-08	-1.91e-06
-1.58e-07	-1.39e-06	-7.20e-09	-5.71e-08	-1.02e-07	6.21e-08	-3.65e-08	8.06e-06	.000069
-3.19e-06	.0001957	-7.51e-06	-2.44e-06	8.20e-06	7.07e-06	-1.91e-06	.000069	.0035884
								
								
								
								
								
								
								
								
								
								
								
