fe_interact4vcv1	fe_interact4vcv2	fe_interact4vcv3	fe_interact4vcv4	fe_interact4vcv5	fe_interact4vcv6	fe_interact4vcv7	fe_interact4vcv8	fe_interact4vcv9	fe_interact4vcv10	fe_interact4vcv11
.0000206	9.91e-06	.0000136	7.83e-06	-1.61e-07	-2.08e-07	4.41e-07	6.32e-07	-5.61e-08	4.28e-06	.0000982
9.91e-06	.0000298	.0000142	3.61e-06	4.91e-07	1.00e-07	-1.25e-06	5.40e-07	2.19e-08	-8.70e-06	-.0000491
.0000136	.0000142	.0000219	5.12e-06	-1.08e-06	-1.04e-07	1.71e-07	8.80e-07	-1.15e-07	2.98e-06	.0002144
7.83e-06	3.61e-06	5.12e-06	.0003429	-2.28e-06	-3.39e-06	3.95e-06	3.11e-06	-1.53e-06	-.0000364	.002839
-1.61e-07	4.91e-07	-1.08e-06	-2.28e-06	8.31e-07	1.12e-07	-1.31e-07	-1.42e-07	4.09e-08	-1.59e-06	-.0000779
-2.08e-07	1.00e-07	-1.04e-07	-3.39e-06	1.12e-07	1.30e-07	-3.60e-08	-1.42e-08	1.63e-08	-1.08e-06	-.00003
4.41e-07	-1.25e-06	1.71e-07	3.95e-06	-1.31e-07	-3.60e-08	2.20e-06	4.30e-07	-5.69e-08	4.26e-07	.0001064
6.32e-07	5.40e-07	8.80e-07	3.11e-06	-1.42e-07	-1.42e-08	4.30e-07	9.49e-07	-8.76e-08	1.44e-06	.0001626
-5.61e-08	2.19e-08	-1.15e-07	-1.53e-06	4.09e-08	1.63e-08	-5.69e-08	-8.76e-08	2.15e-08	-9.60e-07	-.0000406
4.28e-06	-8.70e-06	2.98e-06	-.0000364	-1.59e-06	-1.08e-06	4.26e-07	1.44e-06	-9.60e-07	.0001927	.001824
.0000982	-.0000491	.0002144	.002839	-.0000779	-.00003	.0001064	.0001626	-.0000406	.001824	.0765093
										
										
										
										
										
										
										
										
										
