fe_polembd2vcv1	fe_polembd2vcv2	fe_polembd2vcv3	fe_polembd2vcv4	fe_polembd2vcv5	fe_polembd2vcv6	fe_polembd2vcv7	fe_polembd2vcv8	fe_polembd2vcv9
3.24e-07	-3.23e-07	2.56e-08	3.18e-08	-4.08e-08	6.95e-08	-6.15e-09	-1.99e-06	.0000122
-3.23e-07	.000254	-1.91e-06	-1.76e-06	2.22e-06	2.48e-06	-1.34e-06	-.0000237	.0025094
2.56e-08	-1.91e-06	1.08e-06	1.33e-07	-7.78e-08	-4.32e-08	1.80e-08	-2.52e-07	-.0000344
3.18e-08	-1.76e-06	1.33e-07	9.35e-08	1.52e-08	1.15e-09	6.98e-09	-9.54e-07	-.0000126
-4.08e-08	2.22e-06	-7.78e-08	1.52e-08	1.37e-06	3.48e-07	-4.48e-08	-1.50e-08	.0000844
6.95e-08	2.48e-06	-4.32e-08	1.15e-09	3.48e-07	6.19e-07	-6.83e-08	4.84e-07	.0001283
-6.15e-09	-1.34e-06	1.80e-08	6.98e-09	-4.48e-08	-6.83e-08	1.93e-08	-3.85e-07	-.0000368
-1.99e-06	-.0000237	-2.52e-07	-9.54e-07	-1.50e-08	4.84e-07	-3.85e-07	.0001178	.0007247
.0000122	.0025094	-.0000344	-.0000126	.0000844	.0001283	-.0000368	.0007247	.070137
								
								
								
								
								
								
								
								
								
								
								
