fe_polem2vcv1	fe_polem2vcv2	fe_polem2vcv3	fe_polem2vcv4	fe_polem2vcv5	fe_polem2vcv6	fe_polem2vcv7	fe_polem2vcv8	fe_polem2vcv9
8.03e-06	6.29e-08	1.45e-07	3.75e-09	-6.06e-07	1.70e-07	2.72e-10	9.20e-07	-3.11e-06
6.29e-08	.0001356	-1.88e-06	-1.42e-06	1.15e-06	1.40e-06	-6.30e-07	-.0000123	.0011681
1.45e-07	-1.88e-06	7.30e-07	7.09e-08	-9.00e-08	-7.91e-08	2.35e-08	-6.16e-07	-.0000447
3.75e-09	-1.42e-06	7.09e-08	5.49e-08	1.68e-08	-1.21e-08	7.75e-09	-5.15e-07	-.0000143
-6.06e-07	1.15e-06	-9.00e-08	1.68e-08	1.10e-06	1.11e-07	-1.33e-08	-7.44e-07	.0000251
1.70e-07	1.40e-06	-7.91e-08	-1.21e-08	1.11e-07	3.31e-07	-3.09e-08	4.60e-07	.0000574
2.72e-10	-6.30e-07	2.35e-08	7.75e-09	-1.33e-08	-3.09e-08	7.83e-09	-3.46e-07	-.0000147
9.20e-07	-.0000123	-6.16e-07	-5.15e-07	-7.44e-07	4.60e-07	-3.46e-07	.0000748	.0006567
-3.11e-06	.0011681	-.0000447	-.0000143	.0000251	.0000574	-.0000147	.0006567	.027749
								
								
								
								
								
								
								
								
								
								
								
