fe_polembd3vcv1	fe_polembd3vcv2	fe_polembd3vcv3	fe_polembd3vcv4	fe_polembd3vcv5	fe_polembd3vcv6	fe_polembd3vcv7	fe_polembd3vcv8	fe_polembd3vcv9
5.31e-07	-4.44e-07	2.62e-08	5.52e-08	-4.51e-08	1.82e-07	-1.02e-08	-4.00e-06	.0000199
-4.44e-07	.0003988	-1.84e-06	-2.54e-06	4.51e-06	4.05e-06	-2.21e-06	-.0000344	.0041534
2.62e-08	-1.84e-06	9.70e-07	1.62e-07	-1.03e-07	-2.50e-08	2.56e-08	-1.05e-06	-.0000493
5.52e-08	-2.54e-06	1.62e-07	1.41e-07	-2.61e-08	9.72e-09	1.02e-08	-1.75e-06	-.0000185
-4.51e-08	4.51e-06	-1.03e-07	-2.61e-08	1.88e-06	4.19e-07	-6.46e-08	3.20e-07	.0001218
1.82e-07	4.05e-06	-2.50e-08	9.72e-09	4.19e-07	1.14e-06	-1.23e-07	8.92e-07	.000232
-1.02e-08	-2.21e-06	2.56e-08	1.02e-08	-6.46e-08	-1.23e-07	3.41e-08	-6.99e-07	-.000065
-4.00e-06	-.0000344	-1.05e-06	-1.75e-06	3.20e-07	8.92e-07	-6.99e-07	.0002032	.0013168
.0000199	.0041534	-.0000493	-.0000185	.0001218	.000232	-.000065	.0013168	.1240095
								
								
								
								
								
								
								
								
								
								
								
