fe_fertility4vcv1	fe_fertility4vcv2	fe_fertility4vcv3	fe_fertility4vcv4	fe_fertility4vcv5	fe_fertility4vcv6	fe_fertility4vcv7	fe_fertility4vcv8	fe_fertility4vcv9
.0006137	-.0000505	-3.87e-06	-7.28e-06	.0000208	.0000445	-1.02e-06	.000065	.0015395
-.0000505	.0002114	3.13e-06	3.05e-06	-2.51e-06	-.0000497	5.31e-06	-.0001413	-.0104681
-3.87e-06	3.13e-06	4.93e-06	2.89e-06	1.49e-06	2.44e-06	-6.31e-07	-3.21e-06	.0012303
-7.28e-06	3.05e-06	2.89e-06	4.78e-06	1.16e-06	3.00e-07	-9.97e-07	-4.66e-07	.0019647
.0000208	-2.51e-06	1.49e-06	1.16e-06	.0000765	.0000588	-5.31e-06	-.0000111	.0100857
.0000445	-.0000497	2.44e-06	3.00e-07	.0000588	.0001561	-.0000121	.0000217	.0228037
-1.02e-06	5.31e-06	-6.31e-07	-9.97e-07	-5.31e-06	-.0000121	2.13e-06	7.53e-06	-.0041858
.000065	-.0001413	-3.21e-06	-4.66e-07	-.0000111	.0000217	7.53e-06	.0003368	-.0158896
.0015395	-.0104681	.0012303	.0019647	.0100857	.0228037	-.0041858	-.0158896	8.225822
								
								
								
								
								
								
								
								
								
								
								
