fe_polemwardur15vcv1	fe_polemwardur15vcv2	fe_polemwardur15vcv3	fe_polemwardur15vcv4	fe_polemwardur15vcv5	fe_polemwardur15vcv6	fe_polemwardur15vcv7	fe_polemwardur15vcv8	fe_polemwardur15vcv9
1.47e-06	.0000108	-1.29e-07	-2.14e-07	-9.92e-07	8.42e-07	-1.09e-07	-9.49e-07	.000202
.0000108	.0020643	-6.43e-06	-.0000209	6.36e-07	.0000359	-8.10e-06	-.0005749	.0148474
-1.29e-07	-6.43e-06	7.02e-07	3.71e-07	4.11e-07	1.99e-07	5.30e-08	-4.99e-06	-.0001011
-2.14e-07	-.0000209	3.71e-07	8.32e-07	3.76e-07	-3.10e-07	5.29e-08	-2.47e-08	-.000092
-9.92e-07	6.36e-07	4.11e-07	3.76e-07	.0000123	1.62e-06	-1.14e-07	-.000014	.0002144
8.42e-07	.0000359	1.99e-07	-3.10e-07	1.62e-06	7.84e-06	-7.31e-07	-8.86e-06	.0013599
-1.09e-07	-8.10e-06	5.30e-08	5.29e-08	-1.14e-07	-7.31e-07	1.42e-07	-2.26e-06	-.0002675
-9.49e-07	-.0005749	-4.99e-06	-2.47e-08	-.000014	-8.86e-06	-2.26e-06	.0011651	.004373
.000202	.0148474	-.0001011	-.000092	.0002144	.0013599	-.0002675	.004373	.5059519
								
								
								
								
								
								
								
								
								
								
								
