fe_polemintermed15vcv1	fe_polemintermed15vcv2	fe_polemintermed15vcv3	fe_polemintermed15vcv4	fe_polemintermed15vcv5	fe_polemintermed15vcv6	fe_polemintermed15vcv7	fe_polemintermed15vcv8	fe_polemintermed15vcv9	fe_polemintermed15vcv10	fe_polemintermed15vcv11	fe_polemintermed15vcv12	fe_polemintermed15vcv13	fe_polemintermed15vcv14
.0000755	.0000725	-.0000104	-6.78e-06	4.35e-07	1.88e-07	1.02e-06	-7.76e-07	-6.87e-07	-5.49e-06	5.55e-06	-1.27e-06	-.0000114	.0022377
.0000725	.0022566	-.0000508	-.000016	-2.55e-07	3.08e-07	.0000463	-6.75e-06	-.0000244	-8.42e-06	.0000392	-.0000102	-.0005445	.0184931
-.0000104	-.0000508	.0001021	.0001208	-3.65e-07	-3.66e-07	-.0000152	-1.38e-06	5.51e-09	1.89e-06	-3.06e-06	9.17e-07	.0000553	-.001499
-6.78e-06	-.000016	.0001208	.0001865	1.84e-07	-1.87e-07	-.0000236	-2.20e-06	-1.36e-06	2.48e-06	-3.30e-06	2.84e-07	.000113	-.0004847
4.35e-07	-2.55e-07	-3.65e-07	1.84e-07	1.03e-07	2.28e-08	1.91e-07	5.10e-08	2.39e-08	3.52e-08	-1.14e-07	-3.53e-08	-3.15e-07	.0000495
1.88e-07	3.08e-07	-3.66e-07	-1.87e-07	2.28e-08	5.62e-08	-1.67e-07	-4.44e-08	-4.02e-08	-2.86e-07	-3.86e-07	-8.87e-08	2.98e-06	.0001256
1.02e-06	.0000463	-.0000152	-.0000236	1.91e-07	-1.67e-07	.0000301	1.26e-06	8.58e-07	-2.77e-06	2.65e-06	-1.11e-07	-.0000152	.0003403
-7.76e-07	-6.75e-06	-1.38e-06	-2.20e-06	5.10e-08	-4.44e-08	1.26e-06	7.19e-07	3.70e-07	3.44e-07	5.27e-07	1.23e-07	-7.11e-06	-.0001987
-6.87e-07	-.0000244	5.51e-09	-1.36e-06	2.39e-08	-4.02e-08	8.58e-07	3.70e-07	8.78e-07	5.26e-07	-1.87e-08	1.26e-07	-9.59e-07	-.0001993
-5.49e-06	-8.42e-06	1.89e-06	2.48e-06	3.52e-08	-2.86e-07	-2.77e-06	3.44e-07	5.26e-07	.0000128	3.39e-06	3.48e-07	-.0000243	-.0004416
5.55e-06	.0000392	-3.06e-06	-3.30e-06	-1.14e-07	-3.86e-07	2.65e-06	5.27e-07	-1.87e-08	3.39e-06	9.91e-06	-4.13e-08	-.0000363	.0003445
-1.27e-06	-.0000102	9.17e-07	2.84e-07	-3.53e-08	-8.87e-08	-1.11e-07	1.23e-07	1.26e-07	3.48e-07	-4.13e-08	2.74e-07	-6.20e-06	-.0004511
-.0000114	-.0005445	.0000553	.000113	-3.15e-07	2.98e-06	-.0000152	-7.11e-06	-9.59e-07	-.0000243	-.0000363	-6.20e-06	.0012326	.009559
.0022377	.0184931	-.001499	-.0004847	.0000495	.0001256	.0003403	-.0001987	-.0001993	-.0004416	.0003445	-.0004511	.009559	.7582337
													
													
													
													
													
													
