fe_fertilityexist10vcv1	fe_fertilityexist10vcv2	fe_fertilityexist10vcv3	fe_fertilityexist10vcv4	fe_fertilityexist10vcv5	fe_fertilityexist10vcv6	fe_fertilityexist10vcv7	fe_fertilityexist10vcv8	fe_fertilityexist10vcv9
.0151984	-.0009779	-.0000596	-.0000294	.0003373	.0004972	-2.24e-06	.0007701	.0009179
-.0009779	.0010688	4.37e-06	4.75e-06	-.0000796	-.0002401	.0000346	-.0007325	-.0682951
-.0000596	4.37e-06	.0000104	7.89e-06	3.73e-06	.0000149	-4.34e-06	-.0000121	.0085188
-.0000294	4.75e-06	7.89e-06	.0000182	6.83e-06	7.75e-06	-5.99e-06	-9.00e-06	.0118418
.0003373	-.0000796	3.73e-06	6.83e-06	.0002773	.0002515	-.0000282	-.0000116	.0540683
.0004972	-.0002401	.0000149	7.75e-06	.0002515	.0006063	-.0000572	.0000609	.109122
-2.24e-06	.0000346	-4.34e-06	-5.99e-06	-.0000282	-.0000572	.0000131	.0000402	-.0257681
.0007701	-.0007325	-.0000121	-9.00e-06	-.0000116	.0000609	.0000402	.0015818	-.0835164
.0009179	-.0682951	.0085188	.0118418	.0540683	.109122	-.0257681	-.0835164	50.8392
								
								
								
								
								
								
								
								
								
								
								
